amount;approval_date;cvm_code;ex_date;notes;payable_date;record_date;ticker;type;code_partition
0.171306158;"";25100;2021-12-08;"";2021-12-16;2021-12-07;CURY3;dividend;25100
0.394004164;2021-04-23;25100;2021-04-26;"";2021-07-30;2021-04-23;CURY3;dividend;25100
