data_fundacao;codigo_cvm;nome_empresa;nome_empresa_b3;cnpj;codigo_b3;setor_atuacao;subsetor_atuacao;segmento;atividade_principal;listada_b3;site_empresa
1998-01-26;18414;Padtec Holding S.a.;Padtec;02365069000144;PDTC;Tecnologia Da Informacao;Programas E Servicos;Programas E Servicos;Participação em Outras Sociedades. Fdos de Investimento. Carteiras de Valores Mobiliários Ou Outros Veículos de Investimento. Que Atuem Na área de Tecnologia. em Especial Na Padtec S.A.;Sim;http://www.padtec.com.br
1983-01-01;19992;Totvs S.a.;Totvs;53113791000122;TOTS;Tecnologia Da Informacao;Programas E Servicos;Programas E Servicos;Prestação de Serviços de Consultoria. Assessoria E Desenvolvimento de Sistemas Informatizados (software). Atividades de Pesquisa E Inovação Tecnológica. Prestação de Serviços Relacionados à Gestão.;Sim;http://www.totvs.com.br
2000-08-04;22799;Sinqia S.a.;Sinqia;04065791000199;SQIA;Tecnologia Da Informacao;Programas E Servicos;Programas E Servicos;"Produção. Desenvolvimento. Licenciamento. Sublicenciamento E Distribuição de Programas de Computador (\"software\") E Outras Atividades. Conforme Descritas No Estatuto Social Da Companhia.";Sim;http://www.sinqia.com.br
"";23035;Linx S.a.;Linx;"";LINX;Tecnologia Da Informacao;Programas E Servicos;Programas E Servicos;"";Sim;http://www.linx.com.br
1989-09-06;23302;Quality Software S.a.;Quality Soft;35791391000194;QUSW;Tecnologia Da Informacao;Programas E Servicos;Programas E Servicos;"Serviços Nos Setores de Informática. Auditoria de Sistemas Softwares; Treinamentos.desenvolvimento de Sistemas de Suporte Técnico; Hardware E Software em Geral; Design Gráfico E Editoração Eletronica.";Sim;http://www.quality.com.br
1993-02-26;23817;Brq Solucoes Em Informatica S.a.;Brq;36542025000164;BRQB;Tecnologia Da Informacao;Programas E Servicos;Programas E Servicos;Prestação de Serviços de Tecnologia Da Informação (ti) - Informática;Sim;http://www.brq.com
1997-10-29;24910;Locaweb Servicos De Internet S.a.;Locaweb;02351877000152;LWSA;Tecnologia Da Informacao;Programas E Servicos;Programas E Servicos;"";Sim;""
2008-08-11;25232;Meliuz S.a.;Meliuz;14110585000107;CASH;Tecnologia Da Informacao;Programas E Servicos;Programas E Servicos;Portal Virtual Para Veiculação E Divulgação de Marcas. Produtos E Outros Materiais. Locação de Espaço Publicitário. Intermediação de Negócios. Licenciamento de Softwares E Participação em Sociedades.;Sim;""
2012-08-01;25259;Enjoei S.a.;Enjoei;16922038000151;ENJU;Tecnologia Da Informacao;Programas E Servicos;Programas E Servicos;Plataforma Digital de Compra E Venda de Para Produtos Usados. Por Meio Da Criação de lojas Virtuais Pelos Próprios Usuários;Sim;""
2008-07-01;25399;Neogrid Participacoes S.a.;Neogrid;10139870000108;NGRD;Tecnologia Da Informacao;Programas E Servicos;Programas E Servicos;"Participação em Outras Empresas Ou Sociedades. Negócios E Empreendimentos; Desenvolvimento. Licenciamento E Implementação de Softwares; E Prestação de Serviços de Assessoria Técnica E de Treinamento.";Sim;""
2018-08-22;25461;Mobly S.a.;Mobly;31553627000101;MBLY;Tecnologia Da Informacao;Programas E Servicos;Programas E Servicos;"Intermediação. Importação. Exportação E Comércio Varejista de Móveis E Artigos Domésticos em Geral; Serviços de Montagem; Comércio Varejista de Materiais de Construção em Geral; E Outros.";Sim;""
2007-08-24;25470;Mosaico Tecnologia Ao Consumidor S.a.;Mosaico;09083175000184;MOSI;Tecnologia Da Informacao;Programas E Servicos;Programas E Servicos;Intermediação E Agenciamento de Serviços/negócios em Geral. Tratamento de Dados. Provedores de Serviços de Aplicação E Serviços de Hospedagem Na Internet E Consultoria em Publicidade.;Sim;""
2007-08-28;25500;Bemobi Mobile Tech S.a.;Bemobi;09042817000105;BMOB;Tecnologia Da Informacao;Programas E Servicos;Programas E Servicos;Desenvolvimento E Licenciamento de Programas de Computador Não-customizáveis;Sim;""
2012-12-12;25518;Westwing Comercio Varejista S.a.;Westwing;14776142000150;WEST;Tecnologia Da Informacao;Programas E Servicos;Programas E Servicos;"Comércio Físico E Digital Varejista de Móveis E Artigos Domésticos em Geral. Vestuário E Bens E Acessórios de Uso Pessoal; Serviços de Design de Interiores E Arquitetura.";Sim;""
2020-09-15;25747;Infracommerce Cxaas S.a.;Infracommerce;38456921000136;IFCM;Tecnologia Da Informacao;Programas E Servicos;Programas E Servicos;Soluções Digitais Integradas A Partir de Um white-label Digital Ecosystem Para Clientes Liderarem Suas Jornadas de Digitalização No Go-to-market. Levando Uma Experiência Excepcional Ao Consumidor.;Sim;http://www.ri.infracommerce.com.br
2011-07-25;25887;Getninjas S.a.;Getninjas;14127813000151;NINJ;Tecnologia Da Informacao;Programas E Servicos;Programas E Servicos;A Companhia É Uma Plataforma Inovadora. Disponível Para Sistemas Android. Ios E Web. Presente em Todos Os Estados Do Brasil E Conecta Digitalmente Profissionais de Variadas áreas A Potenciais Clientes;Sim;""
2003-10-02;25895;Livetech Da Bahia Industria E Comercio S.a.;Wdc Networks;05917486000140;LVTC;Tecnologia Da Informacao;Programas E Servicos;Programas E Servicos;A Companhia Tem Como Atividade Principal A Exploração Da Indústria de Eletrónicos. Incluindo A Locação E Comercialização de Equipamentos de Informática. Eletrónicos. Telecomunicações E Comunicação.;Sim;""
2016-09-15;26077;Tc Traders Club S.a.;Traders Club;26345998000150;TRAD;Tecnologia Da Informacao;Programas E Servicos;Programas E Servicos;Desenvolvimento E Gestão de Plataformas Para Oferecer Produtos E Serviços Para O Mercado Financeiro.;Sim;""
