currency;isin;issuer_code;market;market_type;ticker;type
BRL;BRCEBRACNPA8;CEBR;BVMF;exchange;CEBR5;stock
BRL;BRCEBRACNPB6;CEBR;BVMF;exchange;CEBR6;stock
