data_fundacao;codigo_cvm;nome_empresa;nome_empresa_b3;cnpj;codigo_b3;setor_atuacao;subsetor_atuacao;segmento;atividade_principal;listada_b3;site_empresa
1998-09-23;18821;Ccr S.a.;Grupo Ccr;02846056000197;CCRO;Bens Industriais;Transporte;Exploracao De Rodovias;Prestadora de Serviços Públicos Por Meio de Concessões Rodoviária. Metroviária E Aeroportuária. Além de Prestação de Serviços de Meio de Pagamentos E Outros.;Sim;http://www.ccr.com.br
1995-11-07;19208;Concessionaria Rio-teresopolis Sa;Conc Rio Ter;00938574000105;CRTE;Bens Industriais;Transporte;Exploracao De Rodovias;Administração. Operação E Conservação de Rodovia;Sim;http://www.crt.com.br
1999-01-11;19330;Tpi - Triunfo Participacoes E Investimentos S.a.;Triunfo;03014553000191;TPIS;Bens Industriais;Transporte;Exploracao De Rodovias;A Triunfo Atua Nos Segmentos de Concessões Rodoviárias. Aeroportuária. Geração de Energia E administração Portuária.;Sim;http://www.triunfo.com
2000-11-07;19453;Ecorodovias Infraestrutura E Logistica S.a.;Ecorodovias;04149454000180;ECOR;Bens Industriais;Transporte;Exploracao De Rodovias;Exploração Direta Ou Indireta de Negócios de Concessão de Obras E Serviços Públicos E Organização Logísitica Do Transporte de Carga.;Sim;http://www.ecorodovias.com.br
1998-05-01;20192;Concessionaria Do Sistema Anhanguera-bandeirantes S.a.;Autoban;02451848000162;ANHB;Bens Industriais;Transporte;Exploracao De Rodovias;Concessão Rodoviária;Sim;http://www.autoban.com.br
1998-05-01;20397;Concessionaria Ecovias Dos Imigrantes Sa;Ecovias;02509491000126;ECOV;Bens Industriais;Transporte;Exploracao De Rodovias;Concessão E Exploração de Rodovias;Sim;http://www.ecovias.com.br
1998-03-04;21024;Concessionaria De Rodovias Do Oeste De Sp-via Oeste Sa;Viaoeste;02415408000150;VOES;Bens Industriais;Transporte;Exploracao De Rodovias;Concessão de Rodovias.;Sim;http://www.viaoeste.com.br
2007-05-16;21903;Ecorodovias Concessoes E Servicos S/a;Econ;08873873000110;"";Bens Industriais;Transporte;Exploracao De Rodovias;Serviços de Apoio Administrativo E de Engenharia. Exploração Direta Ou Indireta de Negócios de Concessão de Obras E Serviços Públicos.;Sim;http://www.ecorodovias.com.br
2009-02-09;22071;Concessionaria Rota Das Bandeiras S/a;Rt Bandeiras;10647979000148;"";Bens Industriais;Transporte;Exploracao De Rodovias;Exploração. Sob O Regime de Concessão. Do Sistema Rodoviário Constituído Pela Malha Rodoviária Estadual Do Corredor Dom Pedro I;Sim;http://www.rotadasbandeiras.com.br/ri
2008-11-12;22268;Concessionaria Auto Raposo Tavares Sa-cart;Conc Raposo;10531501000158;"";Bens Industriais;Transporte;Exploracao De Rodovias;"";Sim;http://www.cart.invepar.com.br
2009-04-27;22411;Concessionaria Das Rodovias Ayrton Senna E Carvalho Pinto S/a-ecopistas;Ecopistas;10841050000155;"";Bens Industriais;Transporte;Exploracao De Rodovias;Concessão E Exploração de Rodovias.;Sim;http://www.ecopistas.com.br
2009-02-19;22721;Conc Rodovias Do Tiete S.a.- Em Recuperacao Judicial;Rod Tiete;10678505000163;RDVT;Bens Industriais;Transporte;Exploracao De Rodovias;"";Sim;http://www.rodoviasdotiete.com.br
1988-04-29;23060;Triangulo Do Sol Auto-estradas S.a.;Triangulosol;02509186000134;"";Bens Industriais;Transporte;Exploracao De Rodovias;Exploração Do Sistema Rodoviário Relativo Ao Lote 09.;Sim;http://www.triangulodosol.com.br
1999-03-02;23167;Rodovias Das Colinas S.a.;Rod Colinas;03025305000146;"";Bens Industriais;Transporte;Exploracao De Rodovias;Exploração Do Sistema Rodoviário Relativo Ao Lote 13: Malha Rodoviária Estadual de Ligação Entre Rio Claro. Piracicaba. Tietê. Jundiaí E Itu. Campinas.;Sim;http://www.rodoviasdascolinas.com.br
