continued_operations;costs;cvm_code;discontinued_operations;ebit;gross_income;net_income;net_income_controlling;net_income_non_controlling;net_sales;non_operating_income;operating_expenses;period_end;period_init;period_type;profit_before_taxes;taxes;code_partition
18187000;-3052000;22683;0;55806000;60590000;18187000;"";"";63642000;-34978000;-4784000;2015-12-31;2015-01-01;year;20815000;-2628000;22683
34931000;-3262000;22683;0;63155000;69201000;34931000;"";"";72463000;-24828000;-6046000;2016-12-31;2016-01-01;year;38327000;-3396000;22683
12750000;-3780000;22683;0;36139000;43482000;12750000;"";"";47262000;-15980000;-7343000;2017-12-31;2017-01-01;year;20159000;-7409000;22683
7394000;-3364000;22683;0;22078000;40455000;7394000;"";"";43819000;-14507000;-18377000;2018-12-31;2018-01-01;year;7571000;-177000;22683
20228000;-3238000;22683;0;32225000;33237000;20228000;"";"";36475000;-10330000;-1012000;2019-12-31;2019-01-01;year;21895000;-1667000;22683
39562000;-3682000;22683;0;51725000;52312000;39562000;"";"";55994000;-9881000;-587000;2020-12-31;2020-01-01;year;41844000;-2282000;22683
29569000;-5595000;22683;0;49080000;50317000;29569000;"";"";55912000;-16721000;-1237000;2021-12-31;2021-01-01;year;32359000;-2790000;22683
