continued_operations;costs;cvm_code;discontinued_operations;ebit;gross_income;net_income;net_income_controlling;net_income_non_controlling;net_sales;non_operating_income;operating_expenses;period_end;period_init;period_type;profit_before_taxes;taxes;code_partition
42513000;-9013000;25119;0;42562000;1302000;42513000;42513000;14655000;10315000;2116000;41260000;2020-12-31;2020-01-01;year;44678000;-2165000;25119
82936000;-12481000;25119;0;70499000;-6065000;82936000;82936000;3423000;6416000;12437000;76564000;2021-12-31;2021-01-01;year;82936000;0;25119
