continued_operations;costs;cvm_code;discontinued_operations;ebit;gross_income;net_income;net_income_controlling;net_income_non_controlling;net_sales;non_operating_income;operating_expenses;period_end;period_init;period_type;profit_before_taxes;taxes;code_partition
30422000;-139491000;26093;-11705000;60660000;166272000;18717000;18717000;0;305763000;-6851000;-105612000;2020-12-31;2020-01-01;year;53809000;-23387000;26093
-74517000;-253376000;26093;0;-75332000;154732000;-74517000;-74517000;0;408108000;12702000;-230064000;2021-12-31;2021-01-01;year;-62630000;-11887000;26093
