continued_operations;costs;cvm_code;discontinued_operations;ebit;gross_income;net_income;net_income_controlling;net_income_non_controlling;net_sales;non_operating_income;operating_expenses;period_end;period_init;period_type;profit_before_taxes;taxes;code_partition
48591000;0;701;0;58578000;0;48591000;48591000;84000;0;-615000;58578000;2009-12-31;2009-01-01;year;57963000;-9372000;701
47519000;0;701;0;45743000;0;47519000;47519000;257000;0;3162000;45743000;2010-12-31;2010-01-01;year;48905000;-1386000;701
-2767000;0;701;0;-2563000;0;-2767000;-2767000;-7000;0;-204000;-2563000;2011-12-31;2011-01-01;year;-2767000;0;701
-2048000;0;701;0;-4760000;0;-2048000;-2048000;0;0;3107000;-4760000;2012-12-31;2012-01-01;year;-1653000;-395000;701
-2685000;0;701;0;-3466000;0;-2685000;-2685000;-17000;0;781000;-3466000;2013-12-31;2013-01-01;year;-2685000;0;701
4574000;0;701;0;-2776000;0;4574000;"";"";0;2793000;-2776000;2014-12-31;2014-01-01;year;17000;4557000;701
