asset_turnover;cash_liquidity;current_liquidity;cvm_code;ebit_margin;ebitda;ebitda_margin;gross_debt;gross_margin;net_debt;net_margin;operating_margin;period_end;period_init;period_type;quick_liquidity;return_on_assets;return_on_equity;total_debt;working_capital;code_partition
0.1736;"";2.5118;3891;"";"";"";"";30.9469;"";14.068;22.9975;2009-12-31;2009-01-01;year;"";0.0244;12.6867;"";8.59665E8;3891
0.1411;"";2.27;3891;"";"";"";"";51.1939;"";14.4336;16.4851;2010-12-31;2010-01-01;year;"";0.0204;10.5584;"";9.80951E8;3891
0.1482;"";2.0679;3891;"";"";"";"";51.3109;"";13.0514;20.8625;2011-12-31;2011-01-01;year;"";0.0193;12.107;"";1.143131E9;3891
0.1158;"";1.5863;3891;"";"";"";"";51.0029;"";13.3779;22.1017;2012-12-31;2012-01-01;year;"";0.0155;13.4072;"";1.331112E9;3891
0.115;"";1.4857;3891;"";"";"";"";39.203;"";7.8706;4.8782;2013-12-31;2013-01-01;year;"";0.0091;7.1857;"";1.241649E9;3891
0.1593;"";1.1884;3891;"";"";"";"";37.6607;"";4.5347;5.6353;2014-12-31;2014-01-01;year;"";0.0072;4.8513;"";4.95934E8;3891
