asset_turnover;cash_liquidity;current_liquidity;cvm_code;ebit_margin;ebitda;ebitda_margin;gross_debt;gross_margin;net_debt;net_margin;operating_margin;period_end;period_init;period_type;quick_liquidity;return_on_assets;return_on_equity;total_debt;working_capital;code_partition
6.0E-4;0.0155;4.4099;4707;9912.0325;6.0936E7;9908.2927;0.0;85.6911;-1.9375E7;10443.0894;10604.5528;2015-12-31;2015-01-01;year;4.4099;0.0639;6.4245;0.5742;1.8894E7;4707
6.0E-4;0.0015;4.9898;4707;8976.8293;5.8885E7;8976.372;0.0;94.9695;-2.0118E7;9325.4573;9321.6463;2016-12-31;2016-01-01;year;4.9898;0.0583;5.8585;0.4795;1.9183E7;4707
6.0E-4;0.001;10.4395;4707;7214.8311;4.9132E7;7214.6843;0.0;95.0073;-4.8773E7;7516.4464;7516.4464;2017-12-31;2017-01-01;year;10.4395;0.0467;4.6928;0.478;4.7339E7;4707
6.0E-4;0.0013;8.8005;4707;7270.4348;5.0165E7;7270.2899;0.0;95.0725;-4.5748E7;7685.0725;7693.913;2018-12-31;2018-01-01;year;8.8005;0.0461;4.6297;0.501;4.3207E7;4707
5.0E-4;0.034;7.8965;4707;7412.2862;4.766E7;7412.1306;0.0;95.0233;-4.2591E7;7802.4883;7802.4883;2019-12-31;2019-01-01;year;7.8965;0.0419;4.2114;0.5075;4.0324E7;4707
2.0E-4;0.1043;11.266;4707;18265.2968;4.0001E7;18265.2968;0.0;94.9772;-6.9404E7;18766.6667;18766.6667;2020-12-31;2020-01-01;year;11.266;0.0331;3.3289;0.5245;6.5723E7;4707
0.0;0.0498;19.6094;4707;-553.4224;1.7702E7;-588.661;0.0;-2524.0378;-1.23445E8;545.0104;110.9703;2021-12-31;2021-01-01;year;19.6094;0.0171;1.7157;0.5199;1.19547E8;4707
