cvm_code;financing;investing;operating;period_end;period_init;period_type;code_partition
11258;3042000;0;-1264000;2009-12-31;2009-01-01;year;11258
11258;0;-2812000;4374000;2010-12-31;2010-01-01;year;11258
11258;395400000;-31482000;-8778000;2011-12-31;2011-01-01;year;11258
11258;21394000;-108933000;29306000;2012-12-31;2012-01-01;year;11258
11258;232962000;-227151000;-133679000;2013-12-31;2013-01-01;year;11258
11258;432826000;-815769000;80944000;2014-12-31;2014-01-01;year;11258
