cvm_code;financing;investing;operating;period_end;period_init;period_type;code_partition
21016;187910000;-138036000;-49694000;2015-12-31;2015-01-01;year;21016
21016;-572240000;398978000;172928000;2016-12-31;2016-01-01;year;21016
21016;-533195000;539795000;-6454000;2017-12-31;2017-01-01;year;21016
21016;-462749000;704647000;-48141000;2018-12-31;2018-01-01;year;21016
21016;-319759000;295223000;-6730000;2019-12-31;2019-01-01;year;21016
21016;2548718000;-2206866000;-87328000;2020-12-31;2020-01-01;year;21016
21016;549432000;-127938000;-270382000;2021-12-31;2021-01-01;year;21016
