continued_operations;costs;cvm_code;discontinued_operations;ebit;gross_income;net_income;net_income_controlling;net_income_non_controlling;net_sales;non_operating_income;operating_expenses;period_end;period_init;period_type;profit_before_taxes;taxes;code_partition
-92707000;-2079557000;22470;0;21336000;972016000;-92707000;-92707000;0;3051573000;-165232000;-950680000;2009-12-31;2009-01-01;year;-143896000;51189000;22470
68834000;-2916704000;22470;0;237679000;1276919000;68834000;68834000;0;4193623000;-155077000;-1039240000;2010-12-31;2010-01-01;year;82602000;-13768000;22470
11666000;-3589901000;22470;0;189488000;1545685000;11666000;11666000;0;5135586000;-174822000;-1356197000;2011-12-31;2011-01-01;year;14666000;-3000000;22470
-6745000;-4810471000;22470;0;148564000;1908954000;-6745000;-6745000;0;6719425000;-185237000;-1760390000;2012-12-31;2012-01-01;year;-36673000;29928000;22470
113806000;-5817669000;22470;0;351578000;2217316000;113806000;113806000;0;8034985000;-222376000;-1865738000;2013-12-31;2013-01-01;year;129202000;-15396000;22470
128556000;-7066328000;22470;0;460599000;2625958000;128556000;128556000;0;9692286000;-331566000;-2165359000;2014-12-31;2014-01-01;year;129033000;-477000;22470
