cvm_code;financing;investing;operating;period_end;period_init;period_type;code_partition
25160;24159000;10841000;-4985000;2018-12-31;2018-01-01;year;25160
25160;92050000;-71979000;18740000;2019-12-31;2019-01-01;year;25160
