continued_operations;costs;cvm_code;discontinued_operations;ebit;gross_income;net_income;net_income_controlling;net_income_non_controlling;net_sales;non_operating_income;operating_expenses;period_end;period_init;period_type;profit_before_taxes;taxes;code_partition
52535000;-6950000;14451;0;60301000;48074000;52535000;52535000;18655000;55024000;-1618000;12227000;2009-12-31;2009-01-01;year;58683000;-6148000;14451
2798000;-38847000;14451;0;6060000;23233000;2798000;2798000;16776000;62080000;-2094000;-55271000;2010-12-31;2010-01-01;year;3966000;-1917000;14451
26190000;-27301000;14451;0;27575000;79000;26190000;26190000;19942000;27380000;-1004000;27496000;2011-12-31;2011-01-01;year;26571000;-381000;14451
55499000;-31948000;14451;0;58945000;13222000;55499000;55499000;19180000;45170000;-3357000;45723000;2012-12-31;2012-01-01;year;55588000;-89000;14451
-95621000;-32813000;14451;0;-91322000;5421000;-95621000;-95621000;20458000;38234000;-1998000;-96743000;2013-12-31;2013-01-01;year;-93320000;-2301000;14451
-159868000;-61362000;14451;0;-161557000;7516000;-106107000;-106107000;9788000;68878000;2858000;-169073000;2014-12-31;2014-01-01;year;-104938000;-1169000;14451
