cvm_code;financing;investing;operating;period_end;period_init;period_type;code_partition
25445;-10000000;30591000;-10525000;2020-12-31;2020-01-01;year;25445
25445;1366418000;-1366682000;-11108000;2021-12-31;2021-01-01;year;25445
