continued_operations;costs;cvm_code;discontinued_operations;ebit;gross_income;net_income;net_income_controlling;net_income_non_controlling;net_sales;non_operating_income;operating_expenses;period_end;period_init;period_type;profit_before_taxes;taxes;code_partition
887625000;-2608767000;14524;0;1094287000;1387359000;887625000;"";"";3996126000;-27207000;-293072000;2009-12-31;2009-01-01;year;1067080000;-179455000;14524
945719000;-2902851000;14524;0;1133571000;1491473000;945719000;"";"";4394324000;-18668000;-357902000;2010-12-31;2010-01-01;year;1114903000;-169184000;14524
750490000;-3410513000;14524;0;1046095000;1556846000;750490000;"";"";4967359000;-178592000;-510751000;2011-12-31;2011-01-01;year;867503000;-117013000;14524
663006000;-4151685000;14524;0;925886000;1661929000;663006000;"";"";5813614000;-159683000;-736043000;2012-12-31;2012-01-01;year;766203000;-103197000;14524
505010000;-3527444000;14524;0;814723000;1455409000;505010000;"";"";4982853000;-211402000;-640686000;2013-12-31;2013-01-01;year;603321000;-98311000;14524
475766000;-4104644000;14524;0;888360000;1512260000;475766000;"";"";5616904000;-349789000;-623900000;2014-12-31;2014-01-01;year;538571000;-62805000;14524
