asset_turnover;cash_liquidity;current_liquidity;cvm_code;ebit_margin;ebitda;ebitda_margin;gross_debt;gross_margin;net_debt;net_margin;operating_margin;period_end;period_init;period_type;quick_liquidity;return_on_assets;return_on_equity;total_debt;working_capital;code_partition
0.1598;0.0047;1.2376;12823;1.6151;-723000.0;-3.1222;4.7582E7;64.46;2.4194E7;14.1167;14.2894;2009-12-31;2009-01-01;year;1.1898;0.0226;3.6403;61.3586;1.2643E7;12823
0.1335;0.0026;1.2766;12823;17.422;3402000.0;13.0665;4.8169E7;68.0135;2.021E7;17.5334;22.4766;2010-12-31;2010-01-01;year;1.209;0.0234;3.2951;40.8004;1.5137E7;12823
0.0734;0.0018;1.3161;12823;29.8628;7182000.0;25.6518;4.8551E7;67.9834;1.6383E7;30.3986;36.2597;2011-12-31;2011-01-01;year;1.2516;0.0223;2.6379;18.2409;1.8069E7;12823
0.0898;0.0036;1.4225;12823;47.2102;1.2267E7;42.2505;4.2262E7;68.8296;1.5889E7;45.55;52.6762;2012-12-31;2012-01-01;year;1.3824;0.0409;5.3599;31.0639;2.3635E7;12823
0.0898;0.0053;1.248;12823;24.1198;5961000.0;19.3614;4.2391E7;71.7682;2.4829E7;23.6391;25.4612;2013-12-31;2013-01-01;year;1.1901;0.0212;2.7332;28.752;1.391E7;12823
0.0977;0.0051;0.3346;12823;26.7061;7487000.0;22.2735;4.2283E7;68.3465;3.8107E7;22.2764;24.8855;2014-12-31;2014-01-01;year;0.28;0.0218;2.7872;28.0359;-3.5365E7;12823
