data_fundacao;codigo_cvm;nome_empresa;nome_empresa_b3;cnpj;codigo_b3;setor_atuacao;subsetor_atuacao;segmento;atividade_principal;listada_b3;site_empresa
1961-04-25;2437;Centrais Eletricas Brasileiras S.a.;Eletrobras;00001180000126;ELET;Utilidade Publica;Energia Eletrica;Energia Eletrica;Empresa Holding de Geração. Transmissão de Energia;Sim;http://www.eletrobras.com
1952-05-22;2453;Companhia Energetica De Minas Gerais S.a.;Cemig;17155730000164;CMIG;Utilidade Publica;Energia Eletrica;Energia Eletrica;Concessionária de Serviço Público de Energia Elétrica.;Sim;http://www.cemig.com.br
1956-01-30;2461;Centrais Eletricas De Santa Catarina S.a.;Celesc;83878892000155;CLSC;Utilidade Publica;Energia Eletrica;Energia Eletrica;Holding Do Setor de Energia;Sim;http://www.celesc.com.br
1966-12-06;2577;Cesp - Companhia Energetica De Sao Paulo;Cesp;60933603000178;CESP;Utilidade Publica;Energia Eletrica;Energia Eletrica;Geração E Comercialização de Energia Elétrica;Sim;http://www.cesp.com.br
1909-06-01;3050;Ampla Energia E Servicos S.a.;Ampla Energia;33050071000158;CBEE;Utilidade Publica;Energia Eletrica;Energia Eletrica;Distribuição de Energia Elétrica;Sim;http://www.eneldistribuicao.com.br/rj
1929-01-02;3190;Rede Energia Participacoes S.a.;Rede Energia;61584140000149;REDE;Utilidade Publica;Energia Eletrica;Energia Eletrica;Participação em Outras Empresas (a Rede Energia Participações É Uma Holding);Sim;http://www.energisa.com.br
1963-12-19;3204;Companhia Estadual De Geracao E Transmissao De Energia Eletrica;Ceee Gt;92715812000131;EEEL;Utilidade Publica;Energia Eletrica;Energia Eletrica;Geração E Transmissão de Energia Elétrica;Sim;http://www.ceee.com.br
1912-01-01;3824;Companhia Paulista De Forca Luz - Cpfl;Paul F Luz;33050196000188;PALF;Utilidade Publica;Energia Eletrica;Energia Eletrica;Prestação de Serviço Público de Distribuição de Energia Elétrica;Sim;http://www.cpfl.com.br
1979-01-01;5576;Energisa Mato Grosso Do Sul - Distribuidora De Energia S/a;Enersul;15413826000150;ENER;Utilidade Publica;Energia Eletrica;Energia Eletrica;Distribuição de Energia Elétrica;Sim;http://www.enersul.com.br
1904-06-30;8036;Light Servicos De Eletricidade Sa;Light;60444437000146;LIGH;Utilidade Publica;Energia Eletrica;Energia Eletrica;A Light  Serviços de Eletricidade S.A. Tem Como Atividade A Distribuição de Energia Elétrica.;Sim;http://www.light.com.br
1902-04-07;14176;Eletropaulo Metropolitana El.s.paulo S.a;Eletropaulo;61695227000193;ELPL;Utilidade Publica;Energia Eletrica;Energia Eletrica;Distribuição de Energia Elétrica;Sim;http://www.aeseletropaulo.com.br
1954-10-26;14311;Companhia Paranaense De Energia S.a.;Copel;76483817000120;CPLE;Utilidade Publica;Energia Eletrica;Energia Eletrica;Geração. Transmissão. Comercialização E Distribuição de Energia Elétrica;Sim;http://ri.copel.com
1965-02-10;14362;Companhia Energetica De Pernambuco - Celpe;Celpe;10835932000108;CEPE;Utilidade Publica;Energia Eletrica;Energia Eletrica;Estudar. Projetar. Construir E Explorar Os Sistemas de Distribuição E Comercialização Aos Consumidores Finais de Energia Elétrica. Bem Como A Geraçãa de Energia Elétrica em Sistema Isolado.;Sim;http://www.celpe.com.br
1968-12-16;14451;Companhia Energetica De Brasilia - Ceb;Ceb;00070698000111;CEBR;Utilidade Publica;Energia Eletrica;Energia Eletrica;Holding/geração E Distribuição de Energia Elétrica;Sim;http://www.ceb.com.br
1966-09-22;14524;Companhia De Eletricidade Do Estado Da Bahia - Coelba;Coelba;15139629000194;CEEB;Utilidade Publica;Energia Eletrica;Energia Eletrica;Serviço Público de Distribuição de Energia Elétrica;Sim;http://www.coelba.com.br
1956-08-04;14605;Energisa Mato Grosso - Distribuidora De Energia S.a.;Energisa Mt;03467321000199;ENMT;Utilidade Publica;Energia Eletrica;Energia Eletrica;Distribuição de Energia Elétrica;Sim;http://www.energisa.com.br
1971-08-30;14869;Companhia Energetica Do Ceara S.a.;Coelce;07047251000170;COCE;Utilidade Publica;Energia Eletrica;Energia Eletrica;Distribuição de Energia Elétrica.;Sim;http://www.eneldistribuicao.com.br/ce/
1995-08-09;15253;Energisa S.a.;Energisa;00864214000106;ENGI;Utilidade Publica;Energia Eletrica;Energia Eletrica;Sociedade de Participações em Outras Empresas. Predominantemente em Distribuidoras de Energia Elétrica.;Sim;http://www.energisa.com.br
1968-07-01;15342;Edp Espirito Santo Distribuicao De Energia S.a.;Escelsa;28152650000171;ESCE;Utilidade Publica;Energia Eletrica;Energia Eletrica;Distribuição de Energia Elétrica;Sim;http://www.escelsa.com.br
1996-02-14;15539;Neoenergia S.a.;Neoenergia;01083200000118;NEOE;Utilidade Publica;Energia Eletrica;Energia Eletrica;Participação em Outras Sociedades;Sim;http://www.neoenergia.com
1996-01-29;15784;Eletrobras Participacoes S.a.;Eletropar;01104937000170;LIPR;Utilidade Publica;Energia Eletrica;Energia Eletrica;A Eletropar Tem Por Objeto Social Principal A Participação No Capital Social Da Eletropaulo - Eletricidade de São Paulo S.A.. Concessionária de Serviços Pub. de Energia Elét.. E de Outras Sociedades.;Sim;http://www.eletrobraspar.com
1997-07-28;16527;Rge Sul Distribuidora De Energia S.a.;Aes Sul;02016440000162;AESL;Utilidade Publica;Energia Eletrica;Energia Eletrica;Distribuição de Energia Elétrica;Sim;http://www.aessul.com.br
