b3_issuer_code;b3_listing_segment;b3_sector;b3_segment;b3_subsector;cnpj;controlling_interest;cvm_code;founding_date;is_b3_listed;is_foreign;is_state_owned;main_activity;name;trade_name;website
ODER;"";Consumo não Cíclico;Alimentos Diversos;Alimentos Processados;97.191.902/0001-94;private;4693;1908-08-08;true;false;false;Indústria de Alimentos Com Sede Na Cidade de São Sebastião Do Caí (rs) E Filiais Nas Cidades de Eldorado Do Sul (rs). Pelotas (rs). Orizona (go) E Salvador (ba).;Conservas Oderich S.A.;Conservas Oderich;http://www.oderich.com.br
BRGE;"";Financeiro;Seguradoras;Previdência e Seguros;17.193.806/0001-46;private_holding;4707;1952-08-08;true;false;false;"A Sociedade Tem Por Objeto Social: a) todos E Quaisquer Serviços de Engenharia Permitidos Pelas Leis E Regulamentos Aplicáveis à Espécie; b) atuar Como Representante. Administradora Ou Procurad";Consórcio Alfa de Administração S.A.;Consórcio Alfa;http://www.alfanet.com.br
CALI;"";Consumo Cíclico;Incorporações;Construção Civil;61.022.042/0001-18;private;4723;1958-01-01;true;false;false;"";Construtora Adolpho Lindenberg S.A.;Adolpho Lindenberg;http://www.grupoldi.com.br
"";"";"";"";"";17.162.082/0001-73;private;4782;1953-12-31;false;"";false;"";MENDES JUNIOR ENGENHARIA SA;MENDES JUNIOR ENGENHARIA S/A;""
BRKM;N1;Materiais Básicos;Petroquímicos;Químicos;42.150.391/0001-70;private;4820;1974-06-18;true;false;false;"Produção de Produtos Químicos. Utilidades. Energia Elétrica E Outros;prestação de Serviços Industriais;participação em Outras Sociedades;locação de Bens; Representação/consignação de Produtos Químicos";Braskem S.A.;Braskem;http://www.braskem.com.br
CORR;"";Financeiro;Exploração de Imóveis;Exploração de Imóveis;15.101.405/0001-93;private_holding;4863;1926-01-02;true;false;false;"";Corrêa Ribeiro S.A. Comércio e Indústria;Corrêa Ribeiro;http://www.crci.com.br
DOHL;"";Consumo Cíclico;Fios e Tecidos;Tecidos, Vestuário e Calçados;84.683.408/0001-03;private;5207;1755-12-09;true;false;false;Tecelagem de Fios de Algodão E Fibras Sintéticas;Döhler S.A.;Döhler;http://www.dohler.com.br
RADL;NM;Saúde;Medicamentos e Outros Produtos;Comércio e Distribuição;61.585.865/0001-51;private;5258;1935-03-28;true;false;false;Comércio de Produtos Farmacêuticos. Perfumarias E Afins;RaiaDrogasil S.A.;RaiaDrogasil;http://www.rd.com.br
MNDL;"";Consumo Cíclico;Acessórios;Tecidos, Vestuário e Calçados;88.610.191/0001-54;private;5312;1896-04-02;true;false;false;Componentes Diversos Para Indústria de Calçados Confecções. Artigos de Cuidados Pessoais E de Cultelaria.;Mundial S.A.;Mundial;http://www.mundial.com
EALT;"";Bens Industriais;Máquinas e Equipamentos Industriais;Máquinas e Equipamentos;82.643.537/0001-34;private;5380;1924-03-08;true;false;false;Fundição de Ferro E Aço;Electro Aço Altona S.A.;Electro Aço Altona;http://www.altona.com.br
WEGE;NM;Bens Industriais;Motores, Compressores e Outros;Máquinas e Equipamentos;84.429.695/0001-11;private_holding;5410;1961-06-30;true;false;false;A Weg Sa É Uma Sociedade de Participação Não Operacional (holding) E também Sociedade de Comando Do Grupo Weg.;WEG S.A.;WEG;http://www.weg.net/br
ENER;"";Utilidade Pública;Energia Elétrica;Energia Elétrica;15.413.826/0001-50;private;5576;1979-01-01;true;false;false;Distribuição de Energia Elétrica;ENERGISA MATO GROSSO DO SUL - DISTRIBUIDORA DE ENERGIA S/A;ENERSUL;http://www.enersul.com.br
ETER;NM;Bens Industriais;Produtos para Construção;Construção e Engenharia;61.092.037/0001-81;private;5762;1940-01-30;true;false;false;Industrialização E Comercialização de Produtos de Fibrocimento. Cimento. Concreto. Gesso. Produtos de Matéria Plástica. Bem Como Outros Materiais de Construção E Respectivos Acessórios.;Eternit S.A.;Eternit;http://www.eternit.com.br/ri
EUCA;N1;Materiais Básicos;Madeira;Madeira e Papel;56.643.018/0001-66;private;5770;1951-11-23;true;false;false;Indústria E Comércio de Chapas de Fibra de Madeira;Eucatex S.A. Indústria e Comércio;Eucatex;http://www.eucatex.com.br/ri
"";"";"";"";"";17.159.005/0001-64;private;5983;1933-11-23;false;"";false;"";FIACAO E TECELAGEM SAO JOSE S/A - EM RECUPERAÇÃO JUDICIAL;SÃO JOSÉ;""
FIGE;"";Outros;Outros;Outros;01.548.981/0001-79;private;6041;1964-06-30;true;false;false;Investimentos;Investimentos Bemge S.A.;Investimentos Bemge;http://www.investimentosbemge.com.br
FNCN;"";Financeiro;Sociedade de Crédito e Financiamento;Intermediários Financeiros;91.669.747/0001-92;private;6076;1962-09-12;true;false;false;Financiamento de Bens E Serviços - Intermediação Financeira;Finansinos S.A.;Finansinos;http://www.finansinos.com.br
TASA;N2;Bens Industriais;Armas e Munições;Máquinas e Equipamentos;92.781.335/0001-02;private;6173;"";true;false;false;Indústria E Comércio de Armas;Taurus Armas S.A.;Taurus;http://www.taurus.com.br
FRAS;N1;Bens Industriais;Material Rodoviário;Material de Transporte;88.610.126/0001-29;private;6211;1957-02-22;true;false;false;Indústria de Autopeças E Materiais de Fricção;Fras-le S.A.;Fras-le;http://ri.fras-le.com.br
TUPY;NM;Bens Industriais;Material Rodoviário;Material de Transporte;84.683.374/0001-49;private;6343;1938-02-01;true;false;false;Produtos Fundidos Para Os Setores de Transporte de Carga. Infraestrutura E Agricultura / Conexões em Ferro Fundido Para Aplicações em Redes Hidráulicas E de Gás / Perfis;Tupy S.A.;Tupy;http://www.tupy.com.br
VIIA;NM;Consumo Cíclico;Eletrodomésticos;Comércio;33.041.260/0652-90;private;6505;1946-07-12;true;false;false;"";Via S.A.;Via;http://www.viavarejo.com.br/ri
HETA;"";Consumo Cíclico;Utensílios Domésticos;Utilidades Domésticas;92.749.225/0001-63;private;6629;1936-01-01;true;false;false;Fabricação E A Comercialização de Toda A Espécie de Talheres E Outros Artigos de Mesa Para Uso Doméstico. Artigos de Adorno. Beleza. Higiene. Móveis. Material Escolar. de Escritório E Profissional.;Hercules S.A. - Fábrica de Talheres;Hercules;http://www.hercules.ind.br
HOOT;"";Consumo Cíclico;Hotelaria;Hotéis e Restaurantes;33.200.049/0001-47;private;6700;1943-04-28;true;false;false;Prestação de Serviços Na Indústria Hoteleira;Hotéis Othon S.A.;Hotéis Othon;http://www.ciahoteisothon.com.br
IGBR;"";Financeiro;Exploração de Imóveis;Exploração de Imóveis;43.185.362/0001-07;private;6815;1964-10-05;true;false;false;Eletroeletrónica;IGB ELETRÔNICA S.A. - EM RECUPERAÇÃO JUDICIAL;IGB S/A;http://www.igbeletronica.com
ROMI;NM;Bens Industriais;Máquinas e Equipamentos Industriais;Máquinas e Equipamentos;56.720.428/0001-63;private;7510;1938-04-19;true;false;false;Indústria E Comércio de Máquinas-ferramenta;Indústrias ROMI S.A.;Indústrias ROMI;http://www.romi.com
TXRX;"";Consumo Cíclico;Fios e Tecidos;Tecidos, Vestuário e Calçados;82.982.075/0001-80;private;7544;1925-04-24;true;false;false;Fiação E Tecelagem de Algodão;TÊXTIL RENAUXVIEW S/A;TEX RENAUX;http://www.renauxview.com.br
INEP;"";Bens Industriais;Máquinas e Equipamentos Industriais;Máquinas e Equipamentos;76.627.504/0001-06;private;7595;1968-05-01;true;false;false;Fabricação de Equipamentos E Sistemas Elétricos . Fabricação de Torres E Acessórios Para Transmissão de Energia E Telecomunicações. Fabricação de Bens de Capital E Sitemas Industriais Sob Encomenda.;Inepar S.A. Indústria e Construções;Inepar;http://www.inepar.com.br
ITSA;N1;Financeiro;Bancos;Intermediários Financeiros;61.532.644/0001-15;private;7617;1966-05-06;true;false;false;Gestão de Participações Societárias (holding);Itaúsa S.A.;Itaúsa;http://www.itausa.com.br
JFEN;"";Consumo Cíclico;Incorporações;Construção Civil;33.035.536/0001-00;private;7811;1940-10-10;true;false;false;"Incorporação E Construção de Imóveis; Execução Por Administração de Obras de Construção Civil.";João Fortes Engenharia S.A.;João Fortes;http://www.joaofortes.com.br/ri
KEPL;"";Bens Industriais;Máquinas e Equipamentos Industriais;Máquinas e Equipamentos;91.983.056/0001-69;private;7870;1935-01-01;true;false;false;Indústria E Comércio de Produtos E Matérias Primas Relacionadas A Metalurgia. Importação E Exportação. Prestação de Serviços. Comércio de Produtos Destinados A Agroindústria.;Kepler Weber S.A.;Kepler Weber;http://www.kepler.com.br
LIGH;"";Utilidade Pública;Energia Elétrica;Energia Elétrica;60.444.437/0001-46;private_holding;8036;1904-06-30;true;false;false;A Light  Serviços de Eletricidade S.A. Tem Como Atividade A Distribuição de Energia Elétrica.;LIGHT SERVIÇOS DE ELETRICIDADE SA;LIGHT;http://www.light.com.br
LAME;N1;Consumo Cíclico;Produtos Diversos;Comércio;33.014.556/0001-96;private;8087;1929-05-27;true;false;false;Comércio em Geral. Inclusive Supermercado E Lanchonete. Lojas de Conveniência. No Varejo E No Atacado. Através de Lojas E Depósitos. de Quaisquer Mercadorias. Bem Como A Realização de Serviços.;Lojas Americanas S.A.;Lojas Americanas;http://ri.lasa.com.br
LREN;NM;Consumo Cíclico;Tecidos, Vestuário e Calçados;Comércio;92.754.738/0001-62;private;8133;1965-06-10;true;false;false;Loja de Departamentos (comércio Varejista);Lojas Renner S.A.;Lojas Renner;http://www.lojasrenner.com.br
LUXM;"";Bens Industriais;Transporte Hidroviário;Transporte;92.660.570/0001-26;private;8192;1930-07-16;true;false;false;Part. Capital Outras Empresas Qualquer Setor Económico. locação de Conjuntos Comerciais.;Trevisa Investimentos S.A.;Trevisa;http://www.trevisa.com.br
