b3_issuer_code;b3_listing_segment;b3_sector;b3_segment;b3_subsector;cnpj;controlling_interest;cvm_code;founding_date;is_b3_listed;is_foreign;is_state_owned;main_activity;name;trade_name;website
CEGR;"";Utilidade Pública;Gás;Gás;33.938.119/0001-69;private;16616;1969-05-28;true;false;false;Distribuição de Gás Natural Na Região Metropolitana Do Estado Do Rio de Janeiro.;Companhia Distribuidora de Gás do Rio de Janeiro;Naturgy (CEG);http://www.gasnaturalfenosa.com.br
UPKP;MB;Utilidade Pública;Energia Elétrica;Energia Elétrica;02.162.616/0001-94;private;16624;1997-09-08;true;false;false;"";UPTICK PARTICIPACOES SA;UPTICK;http://www.uptickbrasil.com.br
DEXP;N1;Materiais Básicos;Petroquímicos;Químicos;02.193.750/0001-52;private;16632;1997-10-01;true;false;false;Holding de Instituições Não-financeiras;Dexxos Participações S.A.;Dexxos;http://www.gpc.com.br
PSSA;NM;Financeiro;Seguradoras;Previdência e Seguros;02.149.205/0001-69;private;16659;1997-09-22;true;false;false;Gestão de Participações Societárias (holding);Porto Seguro S.A.;Porto Seguro;http://www.portoseguro.com.br
"";"";"";"";"";02.201.787/0001-85;private;16675;1997-09-10;false;"";false;"";CEL PARTICIPAÇÕES S.A. - CELPAR;CELPAR;""
ALEF;MB;Outros;Outros;Outros;02.217.319/0001-07;private_holding;16705;1997-10-06;true;false;false;Holding - Participação em Outras Sociedades;YBYRÁ S.A.;YBYRA S/A;http://www.alefnet.com.br/home/index.aspx
"";"";"";"";"";92.802.784/0001-90;state_owned;16748;1965-12-21;false;"";true;"";CIA RIOGRANDENSE DE SANEAMENTO;CORSAN;""
"";MB;Financeiro;Gestão de Recursos e Investimentos;Serviços Financeiros Diversos;00.383.281/0001-09;state_owned;16772;1982-01-10;true;false;true;"";BNDES PARTICIPAÇÕES S.A. - BNDESPAR;BNDESPAR;http://www.bndes.gov.br
CASN;"";Utilidade Pública;Água e Saneamento;Água e Saneamento;82.508.433/0001-17;state_owned;16861;1970-12-31;true;false;true;Atuar Como Instituição Integrante Do Sistema de Saneamento Básico E de Saúde Do Estado de Santa Catarina Através Dos Serviços de Captação. Tratamento E Distribuição de água E Tratamento de Esgoto.;CIA CAT. DE ÁGUAS E SANEAMENTO - CASAN;CASAN;http://www.casan.com.br
OPHE;MB;Outros;Outros;Outros;02.318.346/0001-68;private;16942;1997-11-06;true;false;false;Participação em Outras Sociedades.;OPPORTUNITY ENERGIA E PARTICIPAÇÕES S.A.;OPPORT ENERG;http://www.opportunityenergia.com.br/home/index.aspx
EBEN;"";Utilidade Pública;Energia Elétrica;Energia Elétrica;02.302.100/0001-06;private;16985;1997-12-11;true;false;false;Distribuição de Energia Elétrica;EDP SÃO PAULO DISTRIBUIÇÃO DE ENERGIA S.A.;EBE;http://www.bandeirante.com.br
EMAE;"";Utilidade Pública;Energia Elétrica;Energia Elétrica;02.302.101/0001-42;state_owned;16993;1997-12-11;true;false;true;Produção de Energia Elétrica;EMAE - Empresa Metropolitana de Águas e Energia S.A.;EMAE;http://www.emae.com.br
EGIE;NM;Utilidade Pública;Energia Elétrica;Energia Elétrica;02.474.103/0001-19;private;17329;1998-01-29;true;false;false;Geração E Comercialização de Energia Elétrica;ENGIE Brasil Energia S.A.;ENGIE;http://www.engie.com.br
"";"";"";"";"";02.465.783/0001-04;private_holding;17388;1998-03-09;false;"";false;"";FUTURETEL S.A. - EM LIQUIDAÇÃO;FUTURETEL S.A. - EM LIQUIDAÇÃO;""
"";"";"";"";"";02.338.534/0001-58;private_holding;17434;1997-11-06;false;"";false;"";LONGDIS SA;LONGDIS SA;""
RAIL;NM;Bens Industriais;Transporte Ferroviário;Transporte;02.387.241/0001-60;private_holding;17450;1997-09-30;true;false;false;Prestar Serviços de Transporte de Cargas Através Dos Modais Ferroviário E Rodoviário. Dentre Outros. Isoladamente Ou Combinados Entre Si de Forma Intermodal Ou Multimodal. Entre Outros.;Rumo S.A.;Rumo;http://www.rumolog.com
EKTR;"";Utilidade Pública;Energia Elétrica;Energia Elétrica;02.328.280/0001-97;private;17485;1998-01-06;true;false;false;Distribuição de Energia Elétrica;Elektro Redes S.A.;Elektro;http://www.elektro.com.br
"";"";"";"";"";02.591.787/0001-39;private_holding;17493;1998-06-01;false;"";false;"";CAPITALPART PARTICIPAÇÕES SA;CAPITALPART PARTICIPAÇÕES S.A.;""
"";"";"";"";"";02.604.997/0001-14;private_holding;17540;1998-06-24;false;"";false;"";NEWTEL PARTICIPAÇÕES S.A. - EM LIQUIDAÇÃO;NEWTEL PARTICIPAÇÕES S.A. - EM LIQUIDAÇÃO;""
VIVT;"";Comunicações;Telecomunicações;Telecomunicações;02.558.157/0001-62;private;17671;1998-05-22;true;false;false;Prestação de Serviços de Telecomunicações. Exploração de Serviços de Valor Adicionado E Soluções Integradas.;Telefônica Brasil S.A.;Vivo;http://www.telefonica.com.br
"";"";"";"";"";39.115.514/0001-28;private;17850;1990-08-28;false;"";false;"";RUMO MALHA OESTE S.A.;ALL - AMÉRICA LATINA LOGÍSTICA MALHA OESTE S.A.;""
"";"";"";"";"";02.258.422/0001-97;private;17868;1997-10-31;false;"";false;"";Inepar Equipamentos e Montagens S.A.;Inepar;""
BETP;MB;Outros;Outros;Outros;02.762.124/0001-30;private_holding;17884;1998-08-27;true;false;false;Participação em Outras Sociedades.;BETAPART PARTICIPAÇÕES SA;BETAPART;http://www.betapart.com.br/home/index.aspx
STBP;NM;Bens Industriais;Serviços de Apoio e Armazenagem;Transporte;02.762.121/0001-04;private;17892;1998-08-25;true;false;false;A Companhia Tem Por Objeto A Exploração Comercial de Instalação Portuária Através de Operações Com Contêineres. Carga Geral Ou Afins E A Participação em Outras Sociedades.;Santos Brasil Participações S.A.;Santos Brasil;http://www.santosbrasil.com.br
MMXM;NM;Materiais Básicos;Minerais Metálicos;Mineração;02.762.115/0001-49;private;17914;1998-08-26;true;false;false;Mineração de Minério de Ferro;MMX Mineração e Metálicos S.A.;MMX Mineração;http://www.mmx.com.br
BFRE;"";Financeiro;Gestão de Recursos e Investimentos;Serviços Financeiros Diversos;02.762.113/0001-50;private;17922;1998-08-25;true;false;false;"";BRAZILIAN FINANCE & REAL ESTATE S.A.;BRAZILIAN FR;http://www.bfre.com.br
GASC;MB;Bens Industriais;Transporte Ferroviário;Transporte;02.502.844/0001-66;private;17930;1998-04-01;true;false;false;Prestação de Seviços de Transporte Ferroviário de Cargas E Armazenagem.;RUMO MALHA PAULISTA S.A.;ALL PAULISTA;http://ri.rumolog.com
MRSA;MB;Bens Industriais;Transporte Ferroviário;Transporte;01.417.222/0001-77;private;17949;1996-06-30;true;false;false;Serviços de Transporte Ferroviário de Cargas;MRS Logística S.A.;MRS Logística;http://www.mrs.com.br
OPGM;MB;Outros;Outros;Outros;02.796.775/0001-40;private;17965;1998-08-25;true;false;false;Participação em Outras Sociedades.;GAMA PARTICIPAÇÕES S.A.;GAMA PART;http://www.gamaparticipacoes.com.br/home/index.aspx
COGN;NM;Consumo Cíclico;Serviços Educacionais;Diversos;02.800.026/0001-40;private;17973;1998-08-26;true;false;false;A Companhia Tem Por Objeto A Participação. Como Sócia Ou Acionista. em Sociedades Que Explorem A Administração de Atividades de Educação.;Cogna Educação S.A.;Cogna;http://www.kroton.com.br
ALTR;"";Financeiro;Securitizadoras de Recebíveis;Securitizadoras de Recebíveis;02.783.423/0001-50;private_holding;18066;1998-09-14;true;false;false;Aquisição E Securitização de Recebíveis Imobiliários E Agrícola. A Emissão E Colocação No mercado Financeiro. de Certificados E Recebíveis Imobiliários E Certificados de Recebíveis agrícolas;ALTERE SECURITIZADORA S.A.;ALTERE SEC;http://www.alteresec.com.br
CSRN;"";Utilidade Pública;Energia Elétrica;Energia Elétrica;08.324.196/0001-81;private;18139;1961-12-14;true;false;false;Serviço Público de Distribuição de Energia Elétrica;Companhia Energética do Rio Grande do Norte;COSERN;http://www.cosern.com.br
NOOS;"";Financeiro;Securitizadoras de Recebíveis;Securitizadoras de Recebíveis;02.736.470/0001-43;private;18236;1998-05-26;true;false;false;Aquisição E Securitização de Créditos Imobiliários;CONFIANZA SECURITIZADORA SA;PATRIA SEC;http://www.patriacsci.com.br
CBSC;"";Financeiro;Securitizadoras de Recebíveis;Securitizadoras de Recebíveis;02.105.040/0001-23;private;18287;1997-07-31;true;false;false;Consiste em Um Processo Financeiro Estruturado Através Do Qual Créditos São Adquiridos. Permitindo A Emissão de Valores Mobiliários (cri Ou Cra) A Serem Negociados No Mercado Financeiro E de Capitais.;VIRGO II COMPANHIA DE SECURITIZACAO;CIBRASEC;http://www.cibrasec.com.br
EQPA;"";Utilidade Pública;Energia Elétrica;Energia Elétrica;04.895.728/0001-80;private;18309;1960-08-31;true;false;false;Distribuição de Energia Elétrica;Equatorial Pará Distribuidora de Energia S.A.;Equatorial Pará;http://www.celpa.com.br
PRPT;MB;Outros;Outros;Outros;02.992.449/0001-09;private_holding;18333;1998-11-20;true;false;false;Participação em Outras Sociedades.;PROMPT PARTICIPAÇÕES S.A.;PROMPT PART;http://www.promptparticipacoes.com.br/home/index.aspx
GEPA;"";Utilidade Pública;Energia Elétrica;Energia Elétrica;02.998.301/0001-81;private;18368;1999-02-04;true;false;false;Geração E Comercialização de Energia Elétrica;Rio Paranapanema Energia S.A.;Rio Paranapanema Energia;http://www.paranapanemaenergia.com.br
TRPL;N1;Utilidade Pública;Energia Elétrica;Energia Elétrica;02.998.611/0001-04;private;18376;1999-02-04;true;false;false;Transmissão de Energia Elétrica;CTEEP - Companhia de Transmissão de Energia Elétrica Paulista;Transmissão Paulista;http://www.isacteep.com.br
RBRA;MB;Financeiro;Securitizadoras de Recebíveis;Securitizadoras de Recebíveis;02.773.542/0001-22;private;18406;1998-09-09;true;false;false;"Aquisição de Créditos Imobiliários. Créditos Do Agronegocio. Titulos E Valores Mobiliarios; Gestão E Administração de Carteiras de Crédito; Securitizacao; Atividades Relacionadas.";OPEA SECURITIZADORA S.A.;RBCAPITALRES;http://www.rbcapital.com
PDTC;NM;Tecnologia da Informação;Programas e Serviços;Programas e Serviços;02.365.069/0001-44;private;18414;1998-01-26;true;false;false;Participação em Outras Sociedades. Fdos de Investimento. Carteiras de Valores Mobiliários Ou Outros Veículos de Investimento. Que Atuem Na área de Tecnologia. em Especial Na Padtec S.A.;Padtec Holding S.A.;Padtec;http://www.padtec.com.br
WTPI;"";Financeiro;Securitizadoras de Recebíveis;Securitizadoras de Recebíveis;02.643.896/0001-52;private;18430;1998-07-17;true;false;false;Securitização de Recebíveis;REAL AI PIC SECURITIZADORA DE CREDITOS IMOBILIARIOS S.A.;WTORRE PIC;""
UGPA;NM;Petróleo, Gás e Biocombustíveis;Exploração, Refino e Distribuição;Petróleo, Gás e Biocombustíveis;33.256.439/0001-39;private_holding;18465;1953-12-11;true;false;false;Atuação Na Cadeia de óleo E Gás Por Meio Da Ipiranga. Ultragaz E Ultracargo. Especialidades Químicas Através Da Oxiteno E Varejo Farmacêutico Com A Extrafarma.;Ultrapar Participações S.A.;Ultrapar;http://www.ultra.com.br
MNZC;MB;Financeiro;Exploração de Imóveis;Exploração de Imóveis;02.664.042/0001-52;private;18538;1998-06-23;true;false;false;"";TERMINAL GARAGEM MENEZES CORTES SA;MENEZES CORT;http://www.tgmc.com.br
"";"";"";"";"";07.040.108/0001-57;state_owned;18546;1971-07-21;false;"";true;"";COMPANHIA DE ÁGUA E ESGOTO DO CEARÁ  - CAGECE;CAGECE;""
"";"";"";"";"";02.682.287/0001-02;private;18554;1998-06-18;false;"";false;"";PAN ARRENDAMENTO MERCANTIL S.A.;PAN ARRENDAMENTO MERCANTIL S.A.;""
"";"";"";"";"";00.644.907/0001-93;private;18589;1997-11-01;false;"";false;"";INVESTCO S/A;INVESTCO S.A.;""
DTCY;"";Bens Industriais;Serviços Diversos;Serviços;03.303.999/0001-36;private;18597;1999-07-20;true;false;false;Treinamento em Desenvolvimento Profissional E Gerencial;Dtcom - Direct To Company S.A.;Dtcom;http://www.dtcom.com.br
SAPR;N2;Utilidade Pública;Água e Saneamento;Água e Saneamento;76.484.013/0001-45;state_owned;18627;1963-01-23;true;false;true;Exploração de Serviços Públicos E de Sistemas Privados de Abastecimento de água. de Coleta. Remoção E Destinação Final de Efluentes E Resíduos Sólidos Domésticos E Industriais E Seus Subprodutos.;Companhia de Saneamento do Paraná;Sanepar;http://www.sanepar.com.br
CPFE;NM;Utilidade Pública;Energia Elétrica;Energia Elétrica;02.429.144/0001-93;private;18660;1998-03-20;true;false;false;Gestão de Participações Societárias (holdings);CPFL Energia S.A.;CPFL Energia;http://www.cpfl.com.br
PEAB;"";Financeiro;Holdings Diversificadas;Holdings Diversificadas;01.938.783/0001-11;private_holding;18708;1997-05-14;true;false;false;Participações em Outras Sociedades. Na Qualidade de Sócia E/ou Quotista E Administração de Bnes Próprios;Companhia de Participações Aliança da Bahia;Participações Aliança da Bahia;http://www.aliancaparticipacoes.com.br
BRAP;N1;Materiais Básicos;Minerais Metálicos;Mineração;03.847.461/0001-92;private_holding;18724;2000-03-30;true;false;false;Participação Como Sócia Ou Acionista de Outras Sociedades.;Bradespar S.A.;Bradespar;http://www.bradespar.com
BSCS;"";Financeiro;Securitizadoras de Recebíveis;Securitizadoras de Recebíveis;03.767.538/0001-14;private;18759;2000-04-10;true;false;false;"";BRAZILIAN SECURITIES CIA SECURITIZAÇÃO;BRAZILIAN SC;http://www.braziliansecurities.com.br
IVPR;MB;Bens Industriais;Serviços de Apoio e Armazenagem;Transporte;03.758.318/0001-24;private;18775;2000-03-01;true;false;false;Foi Constituída Sob A Forma de Sociedade Anónima E Tem Como Objeto Social A Participação em Outras Sociedades.;INVEST.E PART.EM INFRA-ESTR.S/A-INVEPAR;INVEPAR;http://www.invepar.com.br
CCRO;NM;Bens Industriais;Exploração de Rodovias;Transporte;02.846.056/0001-97;private;18821;1998-09-23;true;false;false;Prestadora de Serviços Públicos Por Meio de Concessões Rodoviária. Metroviária E Aeroportuária. Além de Prestação de Serviços de Meio de Pagamentos E Outros.;CCR S.A.;Grupo CCR;http://www.ccr.com.br
CPFG;"";Utilidade Pública;Energia Elétrica;Energia Elétrica;03.953.509/0001-47;private;18953;2000-07-19;true;false;false;Geração de Energia Elétrica;CPFL GERAÇÃO DE ENERGIA S/A;CPFL GERACAO;http://www.cpfl.com.br
TIET;"";Utilidade Pública;Energia Elétrica;Energia Elétrica;04.128.563/0001-10;private;18970;2000-11-06;true;false;false;Geração E Comercialização de Energia Elétrica;AES Tietê Energia S.A.;AES Tietê Energia;http://ri.aestiete.com.br
"";"";"";"";"";13.017.462/0001-63;private;18996;1997-12-01;false;"";false;"";ENERGISA SERGIPE - DISTRIBUIDORA DE ENERGIA S/A;ENERGISA SERGIPE;""
"";"";"";"";"";04.038.763/0001-82;private_holding;19097;2000-07-31;false;"";false;"";CAIANDA PARTICIPAÇÕES SA;CAIANDA PARTICIPAÇÕES S.A.;""
ATMP;NM;Bens Industriais;Serviços Diversos;Serviços;04.032.433/0001-80;private_holding;19100;2000-07-31;true;false;false;A Atma Participações S.A. Tem Como Objeto Social A Participação. Direta E Indireta. em Outras Sociedades Comerciais E Civis. Como Sócia. Acionista Ou Quotista. No País Ou No Exterior.;ATMA  PARTICIPAÇÕES  S.A.;ATMASA;http://www.liq.com.br
CABI;MB;Outros;Outros;Outros;04.030.182/0001-02;private_holding;19119;2000-07-31;true;false;false;A Companhia Tem Por Objeto Social A Participação em Outras Sociedades. Comerciais E Civis. Como Sócia. Acionista Ou Quotista. No País Ou No Exterior.;CABINDA PARTICIPAÇÕES SA;CABINDA PART;http://www.cabinda.net.br
CACO;MB;Outros;Outros;Outros;04.031.213/0001-31;private_holding;19135;2000-07-31;true;false;false;A Companhia Tem Por Objeto Social A Participação em Outras Sociedades Comerciais E Civis. Como Sócia. Acionista Ou Quotista. No País Ou No Exterior.;CACONDE PARTICIPAÇÕES SA;CACONDE PART;http://www.cacondeparticipacoes.net.br
"";"";"";"";"";02.221.531/0001-30;private;19151;1997-11-03;false;"";false;"";RODONORTE - CONC. ROD. INTEGRADAS S.A.;RODONORTE;""
"";"";"";"";"";01.616.929/0001-02;state_owned;19186;1967-09-13;false;"";true;"";SANEAMENTO DE GOIAS SA;SANEAGO;""
CRTE;MB;Bens Industriais;Exploração de Rodovias;Transporte;00.938.574/0001-05;private;19208;1995-11-07;true;false;false;Administração. Operação E Conservação de Rodovia;CONCESSIONARIA RIO-TERESOPOLIS SA;CONC RIO TER;http://www.crt.com.br
PRMN;MB;Utilidade Pública;Energia Elétrica;Energia Elétrica;02.291.077/0001-93;private;19232;1997-12-10;true;false;false;Geração de Energia Elétrica;PRODUTORES ENERGETICOS DE MANSO SA - PROMAN;PROMAN;http://www.promanmt.com.br
CPFP;"";Utilidade Pública;Energia Elétrica;Energia Elétrica;04.172.213/0001-51;private;19275;2000-12-01;true;false;false;Prestação de Serviços Públicos de Distribuição de Energia Elétrica.;CIA PIRATININGA DE FORÇA E LUZ;CPFL PIRATIN;http://www.cpfl.com.br
BIOM;MA;Saúde;Medicamentos e Outros Produtos;Medicamentos e Outros Produtos;04.752.991/0001-10;private;19305;2001-09-19;true;false;false;Licenciamento de Tecnologia Para Produção de Proteínas Terapêuticas Recombinantes. Especialmente Insulina.;Biomm S.A.;Biomm;http://www.biomm.com
TPIS;NM;Bens Industriais;Exploração de Rodovias;Transporte;03.014.553/0001-91;private_holding;19330;1999-01-11;true;false;false;A Triunfo Atua Nos Segmentos de Concessões Rodoviárias. Aeroportuária. Geração de Energia E administração Portuária.;TPI - Triunfo Participações e Investimentos S.A.;Triunfo;http://www.triunfo.com
ITUB;N1;Financeiro;Bancos;Intermediários Financeiros;60.872.504/0001-23;private;19348;1943-01-01;true;false;false;A Sociedade Tem Por Objeto A Atividade Bancária em Todas As Modalidades Autorizadas. Inclusive A de Operações de Câmbio.;Itaú Unibanco Holding S.A.;Itaú Unibanco;http://www.itau-unibanco.com.br/relacoes-com-investidores
ITPB;"";Utilidade Pública;Energia Elétrica;Energia Elétrica;02.397.080/0001-96;private_holding;19364;1999-01-21;true;false;false;Geração de Energia Elétrica;ITAPEBI GERAÇÃO DE ENERGIA S/A;ITAPEBI;http://www.itapebi.com.br
"";"";"";"";"";04.200.649/0001-07;private;19429;2000-10-18;false;"";false;"";CIA PROVINCIA DE SECURITIZAÇÃO;CIA PROVINCIA DE SECURITIZAÇÃO CRED IMOB;""
CSMG;NM;Utilidade Pública;Água e Saneamento;Água e Saneamento;17.281.106/0001-03;state_owned;19445;1963-07-05;true;false;true;Prestar Serviços de Saneamento.;Companhia de Saneamento de Minas Gerais;COPASA;http://www.copasa.com.br
ECOR;NM;Bens Industriais;Exploração de Rodovias;Transporte;04.149.454/0001-80;private;19453;2000-11-07;true;false;false;Exploração Direta Ou Indireta de Negócios de Concessão de Obras E Serviços Públicos E Organização Logísitica Do Transporte de Carga.;EcoRodovias Infraestrutura e Logística S.A.;EcoRodovias;http://www.ecorodovias.com.br
"";"";"";"";"";05.889.284/0001-32;private;19470;2003-04-25;false;"";false;"";CSA-COMPANHIA SECURITIZADORA DE ATIVOS;CSA-COMPANHIA SECURITIZADORA DE ATIVOS;""
NATU;"";Consumo não Cíclico;Produtos de Uso Pessoal;Produtos de Uso Pessoal e de Limpeza;71.673.990/0001-77;private;19550;1969-08-28;true;false;false;Comércio Atacadista de Comércio E Produtos de Perfumaria;NATURA COSMETICOS SA;NATURA;http://www.natura.net
GOLL;N2;Bens Industriais;Transporte Aéreo;Transporte;06.164.253/0001-87;private_holding;19569;2004-03-12;true;false;false;Gestão de Participação Societária;Gol Linhas Aéreas Inteligentes S.A.;GOL;http://www.voegol.com.br/ri
SNST;"";Utilidade Pública;Água e Saneamento;Água e Saneamento;02.724.983/0001-34;private;19593;1996-11-03;true;false;false;Tratamento de Esgoto Do Município de Salto-sp;SANESALTO SANEAMENTO SA;SANESALTO;http://www.sanesalto.com.br
GRND;NM;Consumo Cíclico;Calçados;Tecidos, Vestuário e Calçados;89.850.341/0001-60;private;19615;1971-02-25;true;false;false;Fabricação de Calçados em Geral;Grendene S.A.;Grendene;http://www.grendene.com.br
DASA;NM;Saúde;Serviços Médicos, Hospitalares, Análises e Diagnósticos;Serviços Médicos, Hospitalares, Análises e Diagnósticos;61.486.650/0001-83;private;19623;1961-01-01;true;false;false;Análises Clínicas E Medicina Diagnóstica;Diagnósticos da América S.A.;Dasa;http://www.dasa3.com.br
BDLS;"";Financeiro;Sociedade Arrendamento Mercantil;Intermediários Financeiros;47.509.120/0001-82;private;19640;2002-01-01;true;false;false;Prática Das Operações de Arrendamento Mercantil. Observadas As Disposições Da Legislação em Vigor.;BRADESCO LEASING S.A. - ARRENDAMENTO MERCANTIL;BRADESCO LSG;http://www.bradescoleasing.com.br
FRTA;NM;Consumo não Cíclico;Agricultura;Agropecuária;86.550.951/0001-50;private;19658;1962-11-01;true;false;false;Pomicultura Produção. Comercialização E Exportação;Pomi Frutas S.A.;Pomi Frutas;http://www.pomifrutas.com.br
"";"";Financeiro;Securitizadoras de Recebíveis;Securitizadoras de Recebíveis;07.119.838/0001-48;private;19720;2004-09-14;true;false;false;"(i) Aquisição E Securitização de Créditos Decorrentes de Operações de Financiamento Imobiliário; E (ii) Emissão E Colocação de Certificados de Recebíveis Imobiliários No Mercado Financeiro.";BRAZIL REALTY CIA SECURITIZADORA DE CREDITOS IMOLIARIOS;BRAZIL REALT;http://www.cyrela.com.br/ri
RENT;NM;Consumo Cíclico;Aluguel de Carros;Diversos;16.670.085/0001-55;private;19739;1973-09-14;true;false;false;Aluguel de Carros E Gestão de Frotas;Localiza Rent a Car S.A.;Localiza;http://www.localiza.com
ENBR;NM;Utilidade Pública;Energia Elétrica;Energia Elétrica;03.983.431/0001-03;foreign_holding;19763;2000-06-24;true;false;false;área de Negócios: Geração. Distribuição. Transmissão E Comercialização de Energia Elétrica;EDP Energias do Brasil S.A.;EDP Brasil;http://www.edpbr.com.br
"";"";"";"";"";02.919.555/0001-67;foreign;19771;1998-11-09;false;"";false;"";ARTERIS S.A.;ARTERIS;""
CSAN;NM;Petróleo, Gás e Biocombustíveis;Exploração, Refino e Distribuição;Petróleo, Gás e Biocombustíveis;50.746.577/0001-15;private;19836;2000-02-01;true;false;false;Produção de Açúcar. Etanol E Cogeração de Energia. Distribuição de Combustíveis.produção E Distribuição de Lubrificantes.tranporte E Carregamento de Açúcar. Operador de Terras E Distribuição de Gás.;Cosan S.A.;Cosan;http://www.cosan.com.br/ri
TMPE;"";Utilidade Pública;Energia Elétrica;Energia Elétrica;03.795.050/0001-09;private;19852;2000-04-20;true;false;false;"";TERMOPERNAMBUCO SA;TERMOPE;http://www.termope.com.br
LIGT;NM;Utilidade Pública;Energia Elétrica;Energia Elétrica;03.378.521/0001-75;private;19879;1999-07-27;true;false;false;Participação em Sociedades P/ Exploração Serviços de Energia Elétrica;Light S.A.;Light;http://www.light.com.br
BRML;NM;Financeiro;Exploração de Imóveis;Exploração de Imóveis;06.977.745/0001-91;private_holding;19909;2004-05-26;true;false;false;Holding;BRMalls Participações S.A.;BRMalls;http://www.brmalls.com.br
BRPR;NM;Financeiro;Exploração de Imóveis;Exploração de Imóveis;06.977.751/0001-49;private_holding;19925;2004-05-26;true;false;false;"Compra. Venda E Incorp. de Imóveis Comerciais Prontos Ou A Construir; Admin de Imóveis Próprios Ou de Terceiros; Arrendamento. Exploração Com. Locação Sub-locação de Imóveis Comerciais Própr. E Outros";BR Properties S.A.;BR Properties;http://www.brpr.com.br
WTVR;"";Financeiro;Securitizadoras de Recebíveis;Securitizadoras de Recebíveis;"";"";19984;"";true;false;"";"";BRPR 56 SECURITIZADORA CRED IMOB S.A.;BRPR 56 SEC;http://www.brpr.com.br
TOTS;NM;Tecnologia da Informação;Programas e Serviços;Programas e Serviços;53.113.791/0001-22;private;19992;1983-01-01;true;false;false;Prestação de Serviços de Consultoria. Assessoria E Desenvolvimento de Sistemas Informatizados (software). Atividades de Pesquisa E Inovação Tecnológica. Prestação de Serviços Relacionados à Gestão.;Totvs S.A.;Totvs;http://www.totvs.com.br
"";"";"";"";"";03.538.833/0001-07;private;20001;1999-11-23;false;"";false;"";XX DE NOVEMBRO INVESTIMENTOS E PARTICIPAÇÕES S.A;XX DE NOVEMBRO SEC DE CREDITOS IMOB S.A;""
EQTL;NM;Utilidade Pública;Energia Elétrica;Energia Elétrica;03.220.438/0001-73;private;20010;1999-06-16;true;false;false;Empresa Holding Com Atuação No Setor Elétrico;Equatorial Energia S.A.;Equatorial Energia;http://www.equatorialenergia.com.br
VLID;NM;Bens Industriais;Serviços Diversos;Serviços;33.113.309/0001-47;foreign;20028;1957-01-01;true;false;false;Impressão de Documentos de Segurança.;Valid Soluções S.A.;Valid;http://www.valid.com.br
AGRO;NM;Consumo não Cíclico;Agricultura;Agropecuária;07.628.528/0001-59;foreign;20036;2005-09-23;true;false;false;Empresa de Desenvolvimento Agropecuario;BrasilAgro Companhia Brasileira de Propriedades Agrícolas;BrasilAgro;http://www.brasil-agro.com
CARD;NM;Financeiro;Serviços Financeiros Diversos;Serviços Financeiros Diversos;01.896.779/0001-38;private;20044;1996-08-01;true;false;false;Terceirização em Administração E Processamento de Meios Eletrónicos de Pagamento. Infraestrutura E Gestão em Terceirização de Contact Center. Desenvolvimento E Gestão Operacional de Programas Market;CSU Cardsystem S.A.;CSU Cardsystem;http://www.csu.com.br
"";"";"";"";"";07.659.538/0001-51;private;20052;2005-09-30;false;"";false;"";DINAMICA ENERGIA S/A;DINAMICA ENERGIA S/A;""
LUPA;NM;Petróleo, Gás e Biocombustíveis;Equipamentos e Serviços;Petróleo, Gás e Biocombustíveis;89.463.822/0001-12;private;20060;1980-08-01;true;false;false;Fabricante de Equipamentos E Provedor de Serviços Para O Setor de Petróleo E Gás.;Lupatech S.A.;Lupatech;http://www.lupatech.com.br
EMBR;NM;Bens Industriais;Material Aeronáutico e de Defesa;Material de Transporte;07.689.002/0001-89;private;20087;2005-09-02;true;false;false;Projeto. Desenvolvimento. Fabricação. Comercialização de Aeronaves E Sistemas E Fornecimento de Suporte E Serviços de Pós-venda.;Embraer S.A.;Embraer;http://www.embraer.com.br
ODPV;NM;Saúde;Serviços Médicos, Hospitalares, Análises e Diagnósticos;Serviços Médicos, Hospitalares, Análises e Diagnósticos;58.119.199/0001-51;private;20125;1987-01-01;true;false;false;Operadora de Planos Odontológicos;Odontoprev S.A.;Odontoprev;http://www.odontoprev.com.br/ri
"";"";"";"";"";07.950.674/0001-04;private_holding;20184;2006-04-10;false;"";false;"";CCX CARVÃO DA COLOMBIA S.A. - EM LIQUIDAÇÃO;CENTENNIAL ASSET PART. AMAPA S/A;""
ANHB;"";Bens Industriais;Exploração de Rodovias;Transporte;02.451.848/0001-62;private;20192;1998-05-01;true;false;false;Concessão Rodoviária;CONCESSIONÁRIA DO SISTEMA ANHANGUERA-BANDEIRANTES S.A.;AUTOBAN;http://www.autoban.com.br
"";MB;Financeiro;Securitizadoras de Recebíveis;Securitizadoras de Recebíveis;07.587.384/0001-30;private;20222;2005-07-11;true;false;false;Aquisição. Securitização. Emissão. Negociação E Prestação de Serviços Relacionados à Créditos Imobiliários E Direitos Creditórios Do Agronegócio Passíveis de Securitização.;PLANETA SECURITIZADORA S.A.;GAIA SECURIT;http://www.gaiasec.com.br
TAEE;N2;Utilidade Pública;Energia Elétrica;Energia Elétrica;07.859.971/0001-30;private;20257;2006-01-23;true;false;false;Transmissão de Energia Elétrica.;Transmissora Aliança de Energia Elétrica S.A.;Taesa;http://www.taesa.com.br
