continued_operations;costs;cvm_code;discontinued_operations;ebit;gross_income;net_income;net_income_controlling;net_income_non_controlling;net_sales;non_operating_income;operating_expenses;period_end;period_init;period_type;profit_before_taxes;taxes;code_partition
6319000;-25845000;26069;0;14563000;16893000;6319000;"";"";42738000;-4910000;-2330000;2018-12-31;2018-01-01;year;9653000;-3334000;26069
9164000;-34481000;26069;0;22605000;26893000;9164000;"";"";61374000;-7517000;-4288000;2019-12-31;2019-01-01;year;15088000;-5924000;26069
