cvm_code;financing;investing;operating;period_end;period_init;period_type;code_partition
701;-12784000;15775000;54325000;2009-12-31;2009-01-01;year;701
701;-9584000;5679000;-17637000;2010-12-31;2010-01-01;year;701
701;-8158000;-6730000;2631000;2011-12-31;2011-01-01;year;701
701;-17583000;-1796000;872000;2012-12-31;2012-01-01;year;701
701;-2684000;-1520000;-744000;2013-12-31;2013-01-01;year;701
701;714000;34311000;-2609000;2014-12-31;2014-01-01;year;701
