cvm_code;financing;investing;operating;period_end;period_init;period_type;code_partition
20990;2028235000;-1619072000;-268995000;2015-12-31;2015-01-01;year;20990
20990;784942000;30375000;-917726000;2016-12-31;2016-01-01;year;20990
20990;3076564000;-1731299000;-101603000;2017-12-31;2017-01-01;year;20990
20990;549687000;781037000;316229000;2018-12-31;2018-01-01;year;20990
20990;1996246000;-1683862000;107736000;2019-12-31;2019-01-01;year;20990
20990;5163843000;-2105202000;37875000;2020-12-31;2020-01-01;year;20990
20990;-6972818000;3130316000;-328066000;2021-12-31;2021-01-01;year;20990
