assets_per_share;cvm_code;earnings_per_share;ebit_per_share;equity_per_share;net_sales_per_share;price;price_earnings;price_to_book;price_to_cash_flow;price_to_sales;shares;ticker
85.4657;13986;15.9315;11.0444;18.5715;20.6269;52.09;3.2696;2.8048;6.1027;2.5253;1361346696;SUZB3
85.4657;13986;15.9315;11.0444;18.5715;20.6269;52.13;3.2721;2.807;6.1074;2.5273;1361346696;SUZB3
85.4657;13986;15.9315;11.0444;18.5715;20.6269;51.19;3.2131;2.7564;5.9973;2.4817;1361346696;SUZB3
85.4657;13986;15.9315;11.0444;18.5715;20.6269;53.32;3.3468;2.8711;6.2469;2.585;1361346696;SUZB3
85.4657;13986;15.9315;11.0444;18.5715;20.6269;53.58;3.3631;2.8851;6.2773;2.5976;1361346696;SUZB3
85.4657;13986;15.9315;11.0444;18.5715;20.6269;53.66;3.3682;2.8894;6.2867;2.6015;1361346696;SUZB3
85.4657;13986;15.9315;11.0444;18.5715;20.6269;53.5;3.3581;2.8808;6.2679;2.5937;1361346696;SUZB3
85.4657;13986;15.9315;11.0444;18.5715;20.6269;53.78;3.3757;2.8958;6.3007;2.6073;1361346696;SUZB3
85.4657;13986;15.9315;11.0444;18.5715;20.6269;54.02;3.3908;2.9088;6.3289;2.6189;1361346696;SUZB3
85.4657;13986;15.9315;11.0444;18.5715;20.6269;52.83;3.3161;2.8447;6.1894;2.5612;1361346696;SUZB3
85.4657;13986;15.9315;11.0444;18.5715;20.6269;53.41;3.3525;2.8759;6.2574;2.5893;1361346696;SUZB3
85.4657;13986;15.9315;11.0444;18.5715;20.6269;54.29;3.4077;2.9233;6.3605;2.632;1361346696;SUZB3
85.4657;13986;15.9315;11.0444;18.5715;20.6269;52.57;3.2997;2.8307;6.159;2.5486;1361346696;SUZB3
85.4657;13986;15.9315;11.0444;18.5715;20.6269;51.85;3.2546;2.7919;6.0746;2.5137;1361346696;SUZB3
85.4657;13986;15.9315;11.0444;18.5715;20.6269;51.69;3.2445;2.7833;6.0559;2.5059;1361346696;SUZB3
85.4657;13986;15.9315;11.0444;18.5715;20.6269;52.05;3.2671;2.8027;6.0981;2.5234;1361346696;SUZB3
85.4657;13986;15.9315;11.0444;18.5715;20.6269;50.7;3.1824;2.73;5.9399;2.458;1361346696;SUZB3
85.4657;13986;15.9315;11.0444;18.5715;20.6269;50.11;3.1453;2.6982;5.8708;2.4293;1361346696;SUZB3
