continued_operations;costs;cvm_code;discontinued_operations;ebit;gross_income;net_income;net_income_controlling;net_income_non_controlling;net_sales;non_operating_income;operating_expenses;period_end;period_init;period_type;profit_before_taxes;taxes;code_partition
19729000;-96702000;25232;0;28585000;28688000;19729000;19729000;-99000;125390000;-261000;-103000;2020-12-31;2020-01-01;year;28324000;-8595000;25232
-37808000;-298393000;25232;0;-74406000;-75741000;-37808000;-37808000;3474000;222652000;16484000;1335000;2021-12-31;2021-01-01;year;-57922000;20114000;25232
