currency;isin;issuer_code;market;market_type;ticker;type
BRL;BRSNSYACNPA5;SNSY;BVMF;exchange;SNSY5;stock
BRL;BRSNSYACNPB3;SNSY;BVMF;exchange;SNSY6;stock
