continued_operations;costs;cvm_code;discontinued_operations;ebit;gross_income;net_income;net_income_controlling;net_income_non_controlling;net_sales;non_operating_income;operating_expenses;period_end;period_init;period_type;profit_before_taxes;taxes;code_partition
34285000;0;22519;0;34254000;0;34285000;34285000;5093000;0;31000;34254000;2009-12-31;2009-01-01;year;34285000;0;22519
35714000;0;22519;0;36321000;0;35714000;35714000;1829000;0;-607000;36321000;2010-12-31;2010-01-01;year;35714000;0;22519
88957000;0;22519;0;88207000;0;88957000;88957000;0;0;750000;88207000;2011-12-31;2011-01-01;year;88957000;0;22519
64090000;0;22519;0;61892000;0;64090000;63764000;0;0;2198000;61892000;2012-12-31;2012-01-01;year;64090000;0;22519
31149000;0;22519;0;30965000;0;31149000;31522000;0;0;184000;30965000;2013-12-31;2013-01-01;year;31149000;0;22519
45921000;0;22519;0;45793000;0;45921000;46228000;0;0;128000;45793000;2014-12-31;2014-01-01;year;45921000;0;22519
