asset_turnover;cash_liquidity;current_liquidity;cvm_code;ebit_margin;ebitda;ebitda_margin;gross_debt;gross_margin;net_debt;net_margin;operating_margin;period_end;period_init;period_type;quick_liquidity;return_on_assets;return_on_equity;total_debt;working_capital;code_partition
0.6048;0.0808;2.2703;4537;11.3667;1.8595387E7;8.9026;0.0;47.3018;-4.7669195E7;13.4819;16.3694;2009-12-31;2009-01-01;year;1.566;0.0815;10.8316;32.8389;7.4421264E7;4537
0.6535;0.0565;2.4003;4537;12.9891;2.6268521E7;10.7158;0.0;49.236;-5.6637785E7;13.5731;18.2138;2010-12-31;2010-01-01;year;1.7725;0.0887;12.0145;35.4564;9.7724266E7;4537
0.6738;0.0601;2.0057;4537;12.3876;2.7537289E7;10.1337;0.0;49.1931;-4.9207452E7;13.0923;16.9208;2011-12-31;2011-01-01;year;1.4042;0.0882;12.1963;38.265;8.7528001E7;4537
0.675;0.0575;2.1992;4537;11.3801;2.6176308E7;8.9187;0.0;49.224;-6.6848919E7;12.9052;16.6762;2012-12-31;2012-01-01;year;1.547;0.0871;11.8877;36.4676;1.09314082E8;4537
0.6578;0.0544;2.1645;4537;14.6612;4.0015318E7;11.8154;0.0;49.3495;-8.1236929E7;14.8915;20.1026;2013-12-31;2013-01-01;year;1.6453;0.098;14.1606;44.5571;1.31711214E8;4537
0.701;0.051;2.3501;4537;14.5911;4.6342787E7;11.7274;0.0;49.3263;-5.9660735E7;15.0476;20.4324;2014-12-31;2014-01-01;year;1.6555;0.1055;14.8583;40.8631;1.55280394E8;4537
