data_fundacao;codigo_cvm;nome_empresa;nome_empresa_b3;cnpj;codigo_b3;setor_atuacao;subsetor_atuacao;segmento;atividade_principal;listada_b3;site_empresa
1929-05-27;8087;Lojas Americanas S.a.;Lojas Americanas;33014556000196;LAME;Consumo Ciclico;Comercio;Produtos Diversos;Comércio em Geral. Inclusive Supermercado E Lanchonete. Lojas de Conveniência. No Varejo E No Atacado. Através de Lojas E Depósitos. de Quaisquer Mercadorias. Bem Como A Realização de Serviços.;Sim;http://ri.lasa.com.br
1947-12-08;10472;Saraiva Livreiros S.a.;Saraiva;60500139000126;SLED;Consumo Ciclico;Comercio;Produtos Diversos;Edição. Indústria E Comércio de Livros E Publicações em Geral.;Sim;http://www.saraivari.com.br
2006-12-13;20990;Americanas S.a.;Americanas;00776574000156;BTOW;Consumo Ciclico;Comercio;Produtos Diversos;Comércio Varejista E Atacadista em Geral de Quaisquer Bens E Serviços Por Meio de Diversos Meios. em Especial. Da Internet E de Lojas Físicas. Sem Restrição A Outros Meios.;Sim;http://www.b2wdigital.com
2011-01-31;24694;Grupo Sbf S.a.;Grupo Sbf;13217485000111;SBFG;Consumo Ciclico;Comercio;Produtos Diversos;"A Companhia Tem Por Objeto Social (a) Administração de Bens Próprios; E. (b) A Participação. Como Sócia Ou Acionista. em Outras Empresas.";Sim;http://www.centauro.com.br/ri
1967-08-15;25038;Lojas Quero-quero S.a.;Lojas Quero-quero;96418264021802;LJQQ;Consumo Ciclico;Comercio;Produtos Diversos;Comércio Varejista Especializado em Material de Construção. Eletrodomésticos E Móveis.;Sim;""
2013-06-19;25089;Pet Center Comercio E Participacoes S.a.;Petz;18328118000109;PETZ;Consumo Ciclico;Comercio;Produtos Diversos;"Importação. Exportação E Comércio (inclusive Via Internet E-commerce) de Artigos Para Animais. Plantas. Flores. Sementes; Hospital Veterinário. Consultório. Clínica Veterinária. Banho/tosa E Hotel.";Sim;http://www.petz.com.br
2016-12-05;25445;Mpm Corporeos S.a.;Espacolaser;26659061000159;ESPA;Consumo Ciclico;Comercio;Produtos Diversos;Participação Como Sócia de Sociedades Empresárias Que Desenvolvam Atividades de Depilação. Estética Facial. Capilar E Corporal E A Comercialização de Produtos Cosméticos E de Cuidados Corporais.;Sim;""
1968-03-25;25542;Lojas Le Biscuit S.a.;Le Biscuit;16233389000155;LLBI;Consumo Ciclico;Comercio;Produtos Diversos;"";Sim;""
