cvm_code;financing;investing;operating;period_end;period_init;period_type;code_partition
24783;4689048000;-6352227000;-211922000;2020-12-31;2020-01-01;year;24783
24783;-671992000;179131000;-8549000;2021-12-31;2021-01-01;year;24783
