data_fundacao;codigo_cvm;nome_empresa;nome_empresa_b3;cnpj;codigo_b3;setor_atuacao;subsetor_atuacao;segmento;atividade_principal;listada_b3;site_empresa
1953-10-03;9512;Petroleo Brasileiro S.a.;Petrobras;33000167000101;PETR;Petroleo, Gas E Biocombustiveis;Petroleo, Gas E Biocombustiveis;Exploracao, Refino E Distribuicao;Pesquisa. Lavra. Refinação. Processamento. Comércio E Transporte de Petróleo. de Seus Derivados. de Gás Natural E de Outros Hidrocarbonetos Fluidos. Além Das Atividades Vinculadas à Energia.;Sim;http://www.petrobras.com.br
1946-02-01;9989;Refinaria De Petroleos De Manguinhos S.a.;Refinaria De Manguinhos;33412081000196;RPMG;Petroleo, Gas E Biocombustiveis;Petroleo, Gas E Biocombustiveis;Exploracao, Refino E Distribuicao;Fabricação de Produtos de Refino de Petróleo.;Sim;http://www.refinariademanguinhos.com
1953-12-11;18465;Ultrapar Participacoes S.a.;Ultrapar;33256439000139;UGPA;Petroleo, Gas E Biocombustiveis;Petroleo, Gas E Biocombustiveis;Exploracao, Refino E Distribuicao;Atuação Na Cadeia de óleo E Gás Por Meio Da Ipiranga. Ultragaz E Ultracargo. Especialidades Químicas Através Da Oxiteno E Varejo Farmacêutico Com A Extrafarma.;Sim;http://www.ultra.com.br
2000-02-01;19836;Cosan S.a.;Cosan;50746577000115;CSAN;Petroleo, Gas E Biocombustiveis;Petroleo, Gas E Biocombustiveis;Exploracao, Refino E Distribuicao;Produção de Açúcar. Etanol E Cogeração de Energia. Distribuição de Combustíveis.produção E Distribuição de Lubrificantes.tranporte E Carregamento de Açúcar. Operador de Terras E Distribuição de Gás.;Sim;http://www.cosan.com.br/ri
2008-10-13;22187;Petro Rio S.a.;Petrorio;10629105000168;PRIO;Petroleo, Gas E Biocombustiveis;Petroleo, Gas E Biocombustiveis;Exploracao, Refino E Distribuicao;A Companhia Tem Por Objeto A Participação em Outras Sociedades Como Sócia. Acionista Ou Quotista. No País Ou No Exterior. Desde Que Visando à Consecução de Atividades Relacionadas à Energia.;Sim;http://www.petroriosa.com.br
2010-03-09;22365;Enauta Participacoes S.a.;Enauta;11669021000110;ENAT;Petroleo, Gas E Biocombustiveis;Petroleo, Gas E Biocombustiveis;Exploracao, Refino E Distribuicao;Participação em Sociedades Que Se Dediquem à Exploração. Produção E Comercialização de Petróleo. Gás Natural E Seus Derivados. Seja Como Sócio Ou Cionista Ou Outras Formas de Associações.;Sim;http://www.qgep.com.br
2007-06-27;23493;Dommo Energia S.a.;Dommo Energia;08926302000105;DMMO;Petroleo, Gas E Biocombustiveis;Petroleo, Gas E Biocombustiveis;Exploracao, Refino E Distribuicao;A Companhia Terá Por Objeto A Exploração. Produção E Comercialização de Petróleo E Seus Derivados. Gás Natural E Outros Hidrocarbonetos Fluidos.;Sim;http://www.dommoenergia.com.br
1971-11-12;24295;Vibra Energia S.a.;Vibra Energia;34274233000102;BRDT;Petroleo, Gas E Biocombustiveis;Petroleo, Gas E Biocombustiveis;Exploracao, Refino E Distribuicao;Distribuição E Venda de álcool Carburante. Biodísel. Gasolina E Demais Derivados de Petróleo. Incluindo Lubrificantes. Assim Como Gás Natural.;Sim;http://www.br.com.br
2010-06-08;25291;3r Petroleum Oleo E Gas S.a.;3r Petroleum;12091809000155;RRRP;Petroleo, Gas E Biocombustiveis;Petroleo, Gas E Biocombustiveis;Exploracao, Refino E Distribuicao;Exploração E Produção de Petróleo E Gás Natural.;Sim;""
1999-07-21;25780;Petroreconcavo S.a.;Petroreconcavo;03342704000130;RECV;Petroleo, Gas E Biocombustiveis;Petroleo, Gas E Biocombustiveis;Exploracao, Refino E Distribuicao;Exploração E Produção de Petróleo E Gás Natural;Sim;""
