cvm_code;financing;investing;operating;period_end;period_init;period_type;code_partition
17949;-523755000;-373446000;898635000;2009-12-31;2009-01-01;year;17949
17949;57570000;-710137000;648692000;2010-12-31;2010-01-01;year;17949
17949;175601000;-1217674000;1058032000;2011-12-31;2011-01-01;year;17949
17949;43593000;-1007205000;870029000;2012-12-31;2012-01-01;year;17949
17949;-98705000;-800239000;1023024000;2013-12-31;2013-01-01;year;17949
17949;-154966000;-1060413000;1007419000;2014-12-31;2014-01-01;year;17949
