data_fundacao;codigo_cvm;nome_empresa;nome_empresa_b3;cnpj;codigo_b3;setor_atuacao;subsetor_atuacao;segmento;atividade_principal;listada_b3;site_empresa
1998-09-14;18066;Altere Securitizadora S.a.;Altere Sec;02783423000150;ALTR;Financeiro;Securitizadoras De Recebiveis;Securitizadoras De Recebiveis;Aquisição E Securitização de Recebíveis Imobiliários E Agrícola. A Emissão E Colocação No mercado Financeiro. de Certificados E Recebíveis Imobiliários E Certificados de Recebíveis agrícolas;Sim;http://www.alteresec.com.br
1998-05-26;18236;Confianza Securitizadora Sa;Patria Sec;02736470000143;NOOS;Financeiro;Securitizadoras De Recebiveis;Securitizadoras De Recebiveis;Aquisição E Securitização de Créditos Imobiliários;Sim;http://www.patriacsci.com.br
1997-07-31;18287;Virgo Ii Companhia De Securitizacao;Cibrasec;02105040000123;CBSC;Financeiro;Securitizadoras De Recebiveis;Securitizadoras De Recebiveis;Consiste em Um Processo Financeiro Estruturado Através Do Qual Créditos São Adquiridos. Permitindo A Emissão de Valores Mobiliários (cri Ou Cra) A Serem Negociados No Mercado Financeiro E de Capitais.;Sim;http://www.cibrasec.com.br
1998-09-09;18406;Opea Securitizadora S.a.;Rbcapitalres;02773542000122;RBRA;Financeiro;Securitizadoras De Recebiveis;Securitizadoras De Recebiveis;"Aquisição de Créditos Imobiliários. Créditos Do Agronegocio. Titulos E Valores Mobiliarios; Gestão E Administração de Carteiras de Crédito; Securitizacao; Atividades Relacionadas.";Sim;http://www.rbcapital.com
1998-07-17;18430;Real Ai Pic Securitizadora De Creditos Imobiliarios S.a.;Wtorre Pic;02643896000152;WTPI;Financeiro;Securitizadoras De Recebiveis;Securitizadoras De Recebiveis;Securitização de Recebíveis;Sim;""
2000-04-10;18759;Brazilian Securities Cia Securitizacao;Brazilian Sc;03767538000114;BSCS;Financeiro;Securitizadoras De Recebiveis;Securitizadoras De Recebiveis;"";Sim;http://www.braziliansecurities.com.br
2004-09-14;19720;Brazil Realty Cia Securitizadora De Creditos Imoliarios;Brazil Realt;07119838000148;"";Financeiro;Securitizadoras De Recebiveis;Securitizadoras De Recebiveis;"(i) Aquisição E Securitização de Créditos Decorrentes de Operações de Financiamento Imobiliário; E (ii) Emissão E Colocação de Certificados de Recebíveis Imobiliários No Mercado Financeiro.";Sim;http://www.cyrela.com.br/ri
"";19984;Brpr 56 Securitizadora Cred Imob S.a.;Brpr 56 Sec;"";WTVR;Financeiro;Securitizadoras De Recebiveis;Securitizadoras De Recebiveis;"";Sim;http://www.brpr.com.br
2005-07-11;20222;Planeta Securitizadora S.a.;Gaia Securit;07587384000130;"";Financeiro;Securitizadoras De Recebiveis;Securitizadoras De Recebiveis;Aquisição. Securitização. Emissão. Negociação E Prestação de Serviços Relacionados à Créditos Imobiliários E Direitos Creditórios Do Agronegócio Passíveis de Securitização.;Sim;http://www.gaiasec.com.br
2008-03-10;21644;Pdg Companhia Securitizadora;Pdg Securit;09538973000153;PDGS;Financeiro;Securitizadoras De Recebiveis;Securitizadoras De Recebiveis;"";Sim;http://www.pdg.com.br
2009-03-02;21741;Eco. Sec. Dtos. Credit. Agronegocios S/a;Eco Sec Agro;10753164000143;ECOA;Financeiro;Securitizadoras De Recebiveis;Securitizadoras De Recebiveis;Aquisição de Direitos Creditórios Do Agronegócio E Imobiliários Com A Consequente Emissão de Certificados de Recebíveis Do Agronegócio Ou Imóbiliários No Mercado Financeiro E de Capitais.;Sim;http://www.ecoagro.agr.br
2010-05-31;22160;Polo Capital Securitizadora S/a;Polo Cap Sec;12261588000116;PLSC;Financeiro;Securitizadoras De Recebiveis;Securitizadoras De Recebiveis;"Setor de Atividade: Securitização de Recebíveis/aquisição E Securitização de Créditos Imobiliários E Hipotecários; Prestação de Serviços Referentes A Operações Nos Mercados Secundários; Emissão de Cri";Sim;http://www.polocapital.com
2010-05-28;22276;True Securitizadora S.a.;Truesec;12130744000100;APCS;Financeiro;Securitizadoras De Recebiveis;Securitizadoras De Recebiveis;(i) Aquisição E Securitização de Créditos Imobiliários E Direitos Creditórios Do Agronegócio (ii) emissão E Colocação No Mercado Financeiro de Certificados de Recebíveis Imobiliários E Do agronegóci;Sim;http://www.apicesec.com.br
2010-05-03;22390;Octante Securitizadora Sa;Octante Sec;12139922000163;"";Financeiro;Securitizadoras De Recebiveis;Securitizadoras De Recebiveis;Securitização de Direitos Creditórios Imobiliários E Do Agronegócio. Emissão de Certificados de Recebíveis Imobiliários E Certificados de Recebíveis Do Agronegócio;Sim;http://www.octante.com.br
2012-01-02;22764;Gaia Impacto Securitizadora S.a.;Gaia Agro;14876090000193;GAFL;Financeiro;Securitizadoras De Recebiveis;Securitizadoras De Recebiveis;"";Sim;http://www.gaiaagrosec.com.br
2016-05-24;23990;Vert Companhia Securitizadora;Vertciasec;25005683000109;VERT;Financeiro;Securitizadoras De Recebiveis;Securitizadoras De Recebiveis;A Aquisição E Securitização de Quaisquer Direitos Creditórios Do Agronegócio E de Títulos E Valores Mobiliários Lastreados em Direitos de Crédito Do Agronegócio E Direitos de Crédito Imobiliários;Sim;http://www.vert-capital.com
