amount;approval_date;cvm_code;ex_date;notes;payable_date;record_date;ticker;type;code_partition
1.0;2012-04-03;701;2012-04-11;"";2012-06-04;2012-04-10;BAHI3;dividend;701
2.0;2010-10-20;701;2010-10-26;"";2010-12-24;2010-10-25;BAHI3;dividend;701
2.2233;2010-04-30;701;2010-05-24;"";2010-05-31;2010-05-21;BAHI3;dividend;701
0.825;2008-09-02;701;2008-10-29;"";2008-09-29;2008-09-02;BAHI3;dividend;701
1.65;2008-03-10;701;2008-03-28;"";2008-03-19;2008-03-10;BAHI3;dividend;701
1.482;2007-08-07;701;2007-08-09;"";2007-09-03;2007-08-07;BAHI3;dividend;701
