cvm_code;financing;investing;operating;period_end;period_init;period_type;code_partition
4030;-230272000;-4319281000;3277089000;2015-12-31;2015-01-01;year;4030
4030;-589034000;-1093142000;1257546000;2016-12-31;2016-01-01;year;4030
4030;-1281521000;-512847000;721126000;2017-12-31;2017-01-01;year;4030
4030;-5348378000;-1100004000;6594731000;2018-12-31;2018-01-01;year;4030
4030;-2006246000;-1528868000;3387368000;2019-12-31;2019-01-01;year;4030
4030;-463272000;-1122827000;5841117000;2020-12-31;2020-01-01;year;4030
4030;-12120258000;2507485000;8850913000;2021-12-31;2021-01-01;year;4030
