data_fundacao;codigo_cvm;nome_empresa;nome_empresa_b3;cnpj;codigo_b3;setor_atuacao;subsetor_atuacao;segmento;atividade_principal;listada_b3;site_empresa
2006-05-22;20370;Lps Brasil Consultoria De Imoveis S.a.;Lopes;08078847000109;LPSB;Financeiro;Exploracao De Imoveis;Intermediacao Imobiliaria;Intermediação Na Compra. Venda. Permuta E Locação de Imóveis Ou de Direitos E Obrigações A Eles Relativos.;Sim;http://www.lopes.com.br
2007-01-16;21180;Brasil Brokers Participacoes S.a.;Brasil Brokers;08613550000198;BBRK;Financeiro;Exploracao De Imoveis;Intermediacao Imobiliaria;Participação em Outras Sociedades Que Atuem No Setor Imobiliário.;Sim;http://www.brbrokers.com.br
