asset_turnover;cash_liquidity;current_liquidity;cvm_code;ebit_margin;ebitda;ebitda_margin;gross_debt;gross_margin;net_debt;net_margin;operating_margin;period_end;period_init;period_type;quick_liquidity;return_on_assets;return_on_equity;total_debt;working_capital;code_partition
0.7913;0.5553;0.9574;19208;32.532;3.8216E7;18.2425;7.3039E7;48.234;5.1733E7;14.658;22.8422;2015-12-31;2015-01-01;year;0.9407;0.116;18.8975;62.9286;-1636000.0;19208
0.7556;0.7347;1.283;19208;39.4324;3.7438E7;19.3075;5.8941E7;47.9608;2.8495E7;18.4571;27.9164;2016-12-31;2016-01-01;year;1.2616;0.1395;20.4381;46.5573;1.1728E7;19208
1.0795;0.6738;1.3406;19208;39.9851;5.4726E7;22.5839;4.2145E7;49.9887;2.0682E7;17.3801;26.2101;2017-12-31;2017-01-01;year;1.3115;0.1876;26.2665;39.9954;1.0849E7;19208
1.2743;0.7373;1.3318;19208;40.5881;5.2802E7;20.4119;3.8952E7;48.8352;1.3327E7;15.2658;23.2042;2018-12-31;2018-01-01;year;1.3027;0.1945;27.9906;43.882;1.1531E7;19208
1.3593;1.9755;2.6572;19208;41.2913;3.8063E7;14.5983;2.8894E7;51.5692;-3.1581E7;18.566;27.8793;2019-12-31;2019-01-01;year;2.6163;0.2524;35.3289;39.9902;5.073E7;19208
1.3426;2.5559;3.1256;19208;23.7893;-2.3587E7;-9.6179;2.3387E7;33.9031;-7.184E7;10.0877;16.2139;2020-12-31;2020-01-01;year;3.093;0.1354;18.1251;33.8267;7.9195E7;19208
1.3295;3.2871;3.8864;19208;45.518;7.6496E7;30.727;1.4082E7;56.5876;-9.596E7;24.895;36.9892;2021-12-31;2021-01-01;year;3.8451;0.331;42.4082;28.1264;9.6627E7;19208
