data_fundacao;codigo_cvm;nome_empresa;nome_empresa_b3;cnpj;codigo_b3;setor_atuacao;subsetor_atuacao;segmento;atividade_principal;listada_b3;site_empresa
1943-03-02;906;Banco Bradesco S.a.;Banco Bradesco;60746948000112;BBDC;Financeiro;Intermediarios Financeiros;Bancos;Prática de Operações Bancárias em Geral. Inclusive Câmbio;Sim;http://www.bradesco.com.br
1942-07-09;922;Banco Da Amazonia S.a.;Banco Da Amazonia;04902979000144;BAZA;Financeiro;Intermediarios Financeiros;Bancos;"";Sim;http://www.bancoamazonia.com.br
1905-12-30;1023;Banco Do Brasil S.a.;Banco Do Brasil;00000000000191;BBAS;Financeiro;Intermediarios Financeiros;Bancos;Banco Múltiplo;Sim;http://www.bb.com.br
1963-06-18;1120;Banco Do Estado De Sergipe S.a.;Banese;13009717000146;BGIP;Financeiro;Intermediarios Financeiros;Bancos;"";Sim;http://www.banese.com.br
1936-06-17;1155;Banco Do Estado Do Espirito Santo S.a.;Banestes;28127603000178;BEES;Financeiro;Intermediarios Financeiros;Bancos;Intermediação Financeira Inerente Aos Bancos Múltiplos Por Meio Das Carteiras Autorizadas. Inclusive Operações de Câmbio.;Sim;http://www.banestes.com.br
1960-07-01;1171;Banco Do Estado Do Para S.a.;Banpara;04913711000108;BPAR;Financeiro;Intermediarios Financeiros;Bancos;"";Sim;http://www.banpara.b.br
1928-09-12;1210;Banco Do Estado Do Rio Grande Do Sul S.a.;Banrisul;92702067000196;BRSR;Financeiro;Intermediarios Financeiros;Bancos;Banco Múltiplo Atuante Nas Carteiras Comercial. Crédito. Financiamento E Investimento. Crédito Imobiliário. Desenvolvimento E Arrendamento Mercantil E de Investimentos.;Sim;http://www.banrisul.com.br/ri
1952-07-19;1228;Banco Do Nordeste Do Brasil S.a.;Banco Do Nordeste;07237373000120;BNBR;Financeiro;Intermediarios Financeiros;Bancos;Banco Múltiplo Com Carteira Comercial;Sim;http://www.bnb.gov.br
1971-03-26;1309;Banco Mercantil De Investimentos S.a.;Banco Mercantil De Investimentos;34169557000172;BMIN;Financeiro;Intermediarios Financeiros;Bancos;Investimentos / Financiamentos;Sim;http://www.mercantildobrasil.com.br
1940-01-01;1325;Banco Mercantil Do Brasil S.a.;Banco Mercantil Do Brasil;17184037000110;BMEB;Financeiro;Intermediarios Financeiros;Bancos;Finanças. Banco Múltiplo;Sim;http://www.mercantildobrasil.com.br
1966-06-13;1384;Banco Alfa De Investimento S.a.;Alfa Investimento;60770336000165;BRIV;Financeiro;Intermediarios Financeiros;Bancos;Operações Permitidas à Sociedade Da Espécie em Lei. Atividades de Administração de Carteira de Valores Mobiliários. Consultoria de Valores Mobiliários E Operações de Câmbio.;Sim;http://www.alfanet.com.br
1966-05-06;7617;Itausa S.a.;Itausa;61532644000115;ITSA;Financeiro;Intermediarios Financeiros;Bancos;Gestão de Participações Societárias (holding);Sim;http://www.itausa.com.br
1969-08-11;9954;Alfa Holdings S.a.;Alfa Holdings;17167396000169;RPAD;Financeiro;Intermediarios Financeiros;Bancos;Emp. Adm. Part. - Intermediação Financeira;Sim;http://www.alfanet.com.br
