data_fundacao;codigo_cvm;nome_empresa;nome_empresa_b3;cnpj;codigo_b3;setor_atuacao;subsetor_atuacao;segmento;atividade_principal;listada_b3;site_empresa
1964-06-30;6041;Investimentos Bemge S.a.;Investimentos Bemge;01548981000179;FIGE;Outros;Outros;Outros;Investimentos;Sim;http://www.investimentosbemge.com.br
1972-06-16;12319;Blue Tech Solutions Eqi S.a.;Blue Tech Solutions;60637238000154;JBDU;Outros;Outros;Outros;"";Sim;http://www.industriasjbduarte.com.br
1988-11-29;13447;Polpar S.a.;Polpar;59789545000171;PPAR;Outros;Outros;Outros;Participação em Outras Empresas;Sim;http://www.polpar.com.br
1991-03-01;13854;Cemepe Investimentos S.a.;Cemepe;93828986000173;MAPT;Outros;Outros;Outros;Holding;Sim;http://www.cemepe.com.br
1994-10-21;14818;Cims Sa;Cims;00272185000193;CMSA;Outros;Outros;Outros;Participação No Capital de Outras Empresas;Sim;http://www.cims.com.br
"";15423;Atom Empreendimentos E Participacoes S.a.;Atom;00359742000108;ATOM;Outros;Outros;Outros;Holding de Instituições Não Financeiras.;Sim;http://www.atompar.com.br
1997-04-02;16284;524 Participacoes Sa;524 Particip;01851771000155;QVQP;Outros;Outros;Outros;Holding - Participação em Outras Sociedades;Sim;http://www.524participacoes.com.br/home/index.aspx
1997-06-05;16438;Sul 116 Participacoes S.a.;Sul 116 Part;01957772000189;OPTS;Outros;Outros;Outros;"Participação em Outras Sociedades. Comerciais Ou Civis. Nacionais Ou Estrangeiras. Como Sócia. Acionista Ou Quotista; E A Participação. Como Quotista. em Fundos de Investimento Constuídos Regularmente";Sim;http://sul116participacoes.mzweb.com.br
1997-07-22;16586;Sudeste Sa;Sudeste S/a;02062747000108;OPSE;Outros;Outros;Outros;Participação em Outras Sociedades.;Sim;http://www.sudestenet.com.br/home/index.aspx
1997-10-06;16705;Ybyra S.a.;Ybyra S/a;02217319000107;ALEF;Outros;Outros;Outros;Holding - Participação em Outras Sociedades;Sim;http://www.alefnet.com.br/home/index.aspx
1997-11-06;16942;Opportunity Energia E Participacoes S.a.;Opport Energ;02318346000168;OPHE;Outros;Outros;Outros;Participação em Outras Sociedades.;Sim;http://www.opportunityenergia.com.br/home/index.aspx
1998-08-27;17884;Betapart Participacoes Sa;Betapart;02762124000130;BETP;Outros;Outros;Outros;Participação em Outras Sociedades.;Sim;http://www.betapart.com.br/home/index.aspx
1998-08-25;17965;Gama Participacoes S.a.;Gama Part;02796775000140;OPGM;Outros;Outros;Outros;Participação em Outras Sociedades.;Sim;http://www.gamaparticipacoes.com.br/home/index.aspx
1998-11-20;18333;Prompt Participacoes S.a.;Prompt Part;02992449000109;PRPT;Outros;Outros;Outros;Participação em Outras Sociedades.;Sim;http://www.promptparticipacoes.com.br/home/index.aspx
2000-07-31;19119;Cabinda Participacoes Sa;Cabinda Part;04030182000102;CABI;Outros;Outros;Outros;A Companhia Tem Por Objeto Social A Participação em Outras Sociedades. Comerciais E Civis. Como Sócia. Acionista Ou Quotista. No País Ou No Exterior.;Sim;http://www.cabinda.net.br
2000-07-31;19135;Caconde Participacoes Sa;Caconde Part;04031213000131;CACO;Outros;Outros;Outros;A Companhia Tem Por Objeto Social A Participação em Outras Sociedades Comerciais E Civis. Como Sócia. Acionista Ou Quotista. No País Ou No Exterior.;Sim;http://www.cacondeparticipacoes.net.br
1976-08-19;22942;Mgi - Minas Gerais Participacoes S.a.;Mgi Particip;19296342000129;"";Outros;Outros;Outros;"(i)participação Acionária em Empresas;(ii) Promover Associações de Empresas;(iii) Prestar Apoio Técnico E de Gestão Administrativa; E (iv)realizar Operações de Aquisição de Créditos Do Estado de Mg.";Sim;http://www.mgipart.com.br
