data_fundacao;codigo_cvm;nome_empresa;nome_empresa_b3;cnpj;codigo_b3;setor_atuacao;subsetor_atuacao;segmento;atividade_principal;listada_b3;site_empresa
1958-01-01;4723;Construtora Adolpho Lindenberg S.a.;Adolpho Lindenberg;61022042000118;CALI;Consumo Ciclico;Construcao Civil;Incorporacoes;"";Sim;http://www.grupoldi.com.br
1940-10-10;7811;Joao Fortes Engenharia S.a.;Joao Fortes;33035536000100;JFEN;Consumo Ciclico;Construcao Civil;Incorporacoes;"Incorporação E Construção de Imóveis; Execução Por Administração de Obras de Construção Civil.";Sim;http://www.joaofortes.com.br/ri
1973-01-01;14460;Cyrela Brazil Realty S.a. Empreendimentos E Participacoes;Cyrela;73178600000118;CYRE;Consumo Ciclico;Construcao Civil;Incorporacoes;Incorporação Imobiliária;Sim;http://www.cyrela.com.br
1996-11-12;16101;Gafisa S.a.;Gafisa;01545826000107;GFSA;Consumo Ciclico;Construcao Civil;Incorporacoes;"";Sim;http://www.gafisa.com.br
1980-01-01;16306;Rossi Residencial S.a.;Rossi Residencial;61065751000180;RSID;Consumo Ciclico;Construcao Civil;Incorporacoes;Compra E Venda de Imóveis. Desmembramento E Loteamento de Terrenos. Incorporação Imobiliária. Construção de Imóveis Destinados à Venda. E A Participação em Outras Sociedades.;Sim;http://www.rossiresidencial.com.br
2006-05-22;20435;Tecnisa S.a.;Tecnisa;08065557000112;TCSA;Consumo Ciclico;Construcao Civil;Incorporacoes;Incorporação. Compra E Venda de Imóveis Prontos E A Construir A Locação E Administração de Bens Imóveis. Construção de Imóveis E A Prestação de Serviço de Consultoria Imobiliaria.;Sim;http://www.tecnisa.com.br/ri
1949-01-01;20451;Rni Negocios Imobiliarios S.a.;Rni;67010660000124;RDNI;Consumo Ciclico;Construcao Civil;Incorporacoes;"(i) A Compra E Venda de Imóveis; (ii) O Desmembramento Ou Loteamento de Terrenos; (iii) A Incorporação Imobiliária Ou Construção de Imóveis Destinados à Venda; (iv) A Prestação de Serviços A Terceiros";Sim;http://rni.com.br/
2003-01-01;20478;Pdg Realty S.a. Empreendimentos E Participacoes;Pdg Realty;02950811000189;PDGR;Consumo Ciclico;Construcao Civil;Incorporacoes;"";Sim;http://www.pdg.com.br
2002-01-01;20524;Even Construtora E Incorporadora S.a.;Even;43470988000165;EVEN;Consumo Ciclico;Construcao Civil;Incorporacoes;Construção. Incorporação E Loteamento.;Sim;http://www.even.com.br
2006-06-29;20605;Jhsf Participacoes S.a.;Jhsf;08294224000165;JHSF;Consumo Ciclico;Construcao Civil;Incorporacoes;Empresa Que Investe No Brasil em Negócios Voltados A Atender O Público de Alta Renda. Focada No Desenvolvimento E Administração de Projetos de Shopping Centers. Hotéis E E Restaurantes E Incorporação.;Sim;http://ri.jhsf.com.br/
2006-01-10;20630;Cr2 Empreendimentos Imobiliarios S.a.;Cr2;07820907000146;CRDE;Consumo Ciclico;Construcao Civil;Incorporacoes;Incorporação Imobiliária;Sim;http://www.cr2.com.br
1992-02-06;20702;Viver Incorporadora E Construtora S.a.;Viver;67571414000141;VIVR;Consumo Ciclico;Construcao Civil;Incorporacoes;Construção. Incorporação. Aquisição de Créditos Com Lastro em Ativos Imobiliários. Obras Paradas. Vendas. Repasse. Cobrança. Assistência Técnica. Negociação de Dívidas E Processos Judiciais.;Sim;http://www.viver.com.vc
1979-02-15;20770;Eztec Empreendimentos E Participacoes S.a.;Eztec;08312229000173;EZTC;Consumo Ciclico;Construcao Civil;Incorporacoes;(a) Incorporação E Comercialização de Empreendimentos Imobiliários de Qualquer Natureza. (b) Administração E Locação de Imóveis Prórpios. (c) Loteamento de Terrenos. (d) Construção de Condomínios ...;Sim;http://www.eztec.com.br/ri
1977-01-01;20877;Helbor Empreendimentos S.a.;Helbor;49263189000102;HBOR;Consumo Ciclico;Construcao Civil;Incorporacoes;Incorporação de Imoveis;Sim;http://www.helbor.com.br
2006-05-31;20915;Mrv Engenharia E Participacoes S/a;Mrv;08343492000120;MRVE;Consumo Ciclico;Construcao Civil;Incorporacoes;Atividades de Incorporação E Construção;Sim;http://www.mrv.com.br
1983-01-01;21067;Moura Dubeux Engenharia S.a.;Moura Dubeux;12049631000184;MDNE;Consumo Ciclico;Construcao Civil;Incorporacoes;Compra E Venda de Imóveis. Locação. Desmembramento Ou Loteamento de Terrenos. incorporação Imobiliária Ou Construção de Imóveis Destinados à Venda. Participação em Outras sociedades.;Sim;""
2007-04-01;21130;Trisul S.a.;Trisul;08811643000127;TRIS;Consumo Ciclico;Construcao Civil;Incorporacoes;Incorporadora E Construtora;Sim;http://www.trisul-sa.com.br/ri
1994-01-01;21148;Construtora Tenda S.a.;Construtora Tenda;71476527000135;TEND;Consumo Ciclico;Construcao Civil;Incorporacoes;"";Sim;http://www.tenda.com
1981-01-01;21350;Direcional Engenharia S.a.;Direcional;16614075000100;DIRR;Consumo Ciclico;Construcao Civil;Incorporacoes;Incorporação. Construção E Comercialização de Imóveis Próprios Ou de Terceiros E Prestação de Serviços de Engenharia.;Sim;http://www.direcional.com.br/ri
2008-06-03;24279;Inter Construtora E Incorporadora S.a;Inter Sa;09611768000176;INNT;Consumo Ciclico;Construcao Civil;Incorporacoes;Incorporação de Empreendimentos Imobiliários E Construção de Edifícios;Sim;http://www.interconstrutora.com.br
