cvm_code;financing;investing;operating;period_end;period_init;period_type;code_partition
8133;-294121000;-595012000;773485000;2015-12-31;2015-01-01;year;8133
8133;-298040000;-510467000;926169000;2016-12-31;2016-01-01;year;8133
8133;-98800000;-694084000;1062712000;2017-12-31;2017-01-01;year;8133
8133;-429723000;-572935000;897897000;2018-12-31;2018-01-01;year;8133
8133;-590860000;-754030000;1480442000;2019-12-31;2019-01-01;year;8133
8133;902164000;-671132000;685652000;2020-12-31;2020-01-01;year;8133
8133;3274198000;-1059385000;1239985000;2021-12-31;2021-01-01;year;8133
