cvm_code;financing;investing;operating;period_end;period_init;period_type;code_partition
1210;-1723522000;-199633000;2322374000;2015-12-31;2015-01-01;year;1210
1210;-221436000;-2754635000;3891165000;2016-12-31;2016-01-01;year;1210
1210;-432623000;-2348747000;1323045000;2017-12-31;2017-01-01;year;1210
1210;-533673000;3003904000;2043053000;2018-12-31;2018-01-01;year;1210
1210;-720481000;-2491786000;-29661000;2019-12-31;2019-01-01;year;1210
1210;-423772000;-6108174000;"";2020-12-31;2020-01-01;year;1210
1210;932067000;-4921744000;"";2021-12-31;2021-01-01;year;1210
