continued_operations;costs;cvm_code;discontinued_operations;ebit;gross_income;net_income;net_income_controlling;net_income_non_controlling;net_sales;non_operating_income;operating_expenses;period_end;period_init;period_type;profit_before_taxes;taxes;code_partition
6237000;0;7870;0;-4043000;0;6237000;6237000;0;0;163000;-4043000;2015-12-31;2015-01-01;year;-3880000;10117000;7870
-22124000;0;7870;0;-25021000;0;-22124000;-22124000;0;0;1573000;-25021000;2016-12-31;2016-01-01;year;-23448000;1324000;7870
-34257000;0;7870;0;-31648000;0;-34257000;-34257000;0;0;1172000;-31648000;2017-12-31;2017-01-01;year;-30476000;-3781000;7870
8266000;0;7870;0;8450000;0;8266000;8266000;0;0;995000;8450000;2018-12-31;2018-01-01;year;9445000;-1179000;7870
37572000;0;7870;0;36445000;0;37572000;37572000;0;0;928000;36445000;2019-12-31;2019-01-01;year;37373000;199000;7870
67650000;0;7870;0;76027000;0;67650000;67650000;0;0;180000;76027000;2020-12-31;2020-01-01;year;76207000;-8557000;7870
154635000;0;7870;0;154179000;0;154635000;0;0;0;2352000;154179000;2021-12-31;2021-01-01;year;156531000;-1896000;7870
