continued_operations;costs;cvm_code;discontinued_operations;ebit;gross_income;net_income;net_income_controlling;net_income_non_controlling;net_sales;non_operating_income;operating_expenses;period_end;period_init;period_type;profit_before_taxes;taxes;code_partition
-36954000;-145271000;12696;0;-5249000;31908000;-36954000;-36954000;1007000;177179000;-33731000;-37157000;2009-12-31;2009-01-01;year;-38980000;2026000;12696
-31876000;-187699000;12696;0;9587000;58839000;-31876000;-31876000;2935000;246538000;-43587000;-49252000;2010-12-31;2010-01-01;year;-34000000;2124000;12696
-61754000;-183701000;12696;0;-9322000;36041000;-61754000;-61754000;4158000;219742000;-52200000;-45363000;2011-12-31;2011-01-01;year;-61522000;-232000;12696
-54602000;-196786000;12696;0;-12916000;26049000;-54602000;-54602000;4762000;222835000;-43444000;-38965000;2012-12-31;2012-01-01;year;-56360000;1758000;12696
-66994000;-211747000;12696;0;-28265000;38073000;-66994000;-66994000;925000;249820000;-40349000;-66338000;2013-12-31;2013-01-01;year;-68614000;1620000;12696
-104823000;-210656000;12696;0;-50503000;24099000;-104823000;-104823000;-863000;234755000;-55885000;-74602000;2014-12-31;2014-01-01;year;-106388000;1565000;12696
