asset_turnover;cash_liquidity;current_liquidity;cvm_code;ebit_margin;ebitda;ebitda_margin;gross_debt;gross_margin;net_debt;net_margin;operating_margin;period_end;period_init;period_type;quick_liquidity;return_on_assets;return_on_equity;total_debt;working_capital;code_partition
0.0535;0.2094;0.9425;20494;140.4516;2.82255E8;123.9341;1.461025E9;62.4314;1.209977E9;83.9053;79.374;2015-12-31;2015-01-01;year;0.9425;0.0449;7.2736;61.896;-2.0225E7;20494
0.0586;0.3738;1.33;20494;119.5243;2.54486E8;103.2301;1.249137E9;66.666;8.59442E8;65.5448;67.4485;2016-12-31;2016-01-01;year;1.33;0.0384;5.9081;53.8822;1.0723E8;20494
0.061;0.1482;1.3749;20494;126.0471;2.87175E8;111.0233;1.353617E9;66.8448;1.065085E9;84.3402;92.9375;2017-12-31;2017-01-01;year;1.3749;0.0514;7.9471;52.9205;1.00642E8;20494
0.0591;0.0384;2.6954;20494;131.0092;3.15141E8;116.699;1.556237E9;67.1519;1.102244E9;94.9335;101.2202;2018-12-31;2018-01-01;year;2.6954;0.0561;9.0407;61.0872;3.23371E8;20494
0.0559;0.0862;2.8751;20494;145.6828;3.519E8;128.3843;1.697907E9;65.0874;1.138509E9;113.1449;118.4306;2019-12-31;2019-01-01;year;2.8751;0.0633;10.3801;64.0216;3.88456E8;20494
0.0425;0.0154;1.9207;20494;111.0578;2.31085E8;89.8614;2.712406E9;64.4995;1.558326E9;78.6453;83.6711;2020-12-31;2020-01-01;year;1.9207;0.0334;6.4438;92.6435;5.95685E8;20494
0.0461;0.078;6.9555;20494;102.1356;2.40412E8;82.148;2.602335E9;63.3656;1.382403E9;116.8501;147.0558;2021-12-31;2021-01-01;year;6.9555;0.0538;10.0594;86.8193;1.137699E9;20494
