asset_turnover;cash_liquidity;current_liquidity;cvm_code;ebit_margin;ebitda;ebitda_margin;gross_debt;gross_margin;net_debt;net_margin;operating_margin;period_end;period_init;period_type;quick_liquidity;return_on_assets;return_on_equity;total_debt;working_capital;code_partition
1.2342;0.0187;0.8495;24236;6.801;1.3819E7;6.6424;4.8603E7;14.4913;4.6987E7;3.5719;4.0006;2018-12-31;2018-01-01;year;0.8374;0.0441;12.1503;175.6095;-1.299E7;24236
1.1595;0.193;1.1431;24236;-0.4032;-2960000.0;-1.247;7.429E7;9.9199;5.2932E7;-2.5737;-3.7432;2019-12-31;2019-01-01;year;1.1337;-0.0298;-8.219;175.4238;1.0027E7;24236
0.5247;0.7891;3.2057;24236;-2.339;-6154000.0;-3.6871;5.5976E7;4.2964;-4.4145E7;-1.2798;-3.1599;2020-12-31;2020-01-01;year;3.1839;-0.0067;-0.9464;40.9576;1.17958E8;24236
0.7803;0.7667;2.0024;24236;4.4305;8835000.0;3.3127;6.0446E7;11.0534;-1.1211E7;5.4354;4.3829;2021-12-31;2021-01-01;year;1.9867;0.0424;6.3279;49.1959;7.9815E7;24236
