cvm_code;financing;investing;operating;period_end;period_init;period_type;code_partition
6041;-5544000;0;5544000;2009-12-31;2009-01-01;year;6041
6041;0;0;21000;2010-12-31;2010-01-01;year;6041
6041;-191000;0;159000;2011-12-31;2011-01-01;year;6041
6041;-92000;0;103000;2012-12-31;2012-01-01;year;6041
6041;-74000;0;70000;2013-12-31;2013-01-01;year;6041
6041;-71000;0;66000;2014-12-31;2014-01-01;year;6041
