currency;isin;issuer_code;market;market_type;ticker;type
BRL;BRMRSAACNPA9;MRSA;BVMF;organized_otc;MRSA5B;stock
BRL;BRMRSAACNPB7;MRSA;BVMF;organized_otc;MRSA6B;stock
