data_fundacao;codigo_cvm;nome_empresa;nome_empresa_b3;cnpj;codigo_b3;setor_atuacao;subsetor_atuacao;segmento;atividade_principal;listada_b3;site_empresa
1998-01-05;20800;Tegma Gestao Logistica S.a.;Tegma;02351144000118;TGMA;Bens Industriais;Transporte;Transporte Rodoviario;Prestação de Serviços de Logística Para A Indústria Automotiva. Gerenciamento de Estoques E Pátios. Atividades de Armazém Geral. Pdi. Dentre Outras.;Sim;http://www.tegma.com.br
1969-08-05;22020;Jsl S.a.;Jsl;52548435000179;JSLG;Bens Industriais;Transporte;Transporte Rodoviario;"";Sim;http://www.jsl.com.br/ri
