cvm_code;financing;investing;operating;period_end;period_init;period_type;code_partition
1694;0;-9566000;5850000;2015-12-31;2015-01-01;year;1694
1694;0;-20238000;31331000;2016-12-31;2016-01-01;year;1694
1694;0;24000000;16347000;2017-12-31;2017-01-01;year;1694
1694;0;-8123000;104000;2018-12-31;2018-01-01;year;1694
1694;0;-3873000;2143000;2019-12-31;2019-01-01;year;1694
1694;0;-95000;7441000;2020-12-31;2020-01-01;year;1694
1694;-5063000;-178000;-1815000;2021-12-31;2021-01-01;year;1694
