asset_turnover;cash_liquidity;current_liquidity;cvm_code;ebit_margin;ebitda;ebitda_margin;gross_debt;gross_margin;net_debt;net_margin;operating_margin;period_end;period_init;period_type;quick_liquidity;return_on_assets;return_on_equity;total_debt;working_capital;code_partition
0.0;0.6074;1.5671;11070;-0.9852;-2682000.0;-1.8929;0.0;20.6775;-8851000.0;0.7936;1.272;2015-12-31;2015-01-01;year;1.5671;0.0085;0.8945;5.0365;5112000.0;11070
0.0;0.7827;1.5752;11070;-6.231;-2.4145E7;-7.2776;0.0;22.1036;-7303000.0;-4.5109;-4.1135;2016-12-31;2016-01-01;year;1.5752;-0.0429;-5.007;5.2177;3725000.0;11070
0.0;0.0334;0.6796;11070;-1.6605;-7927000.0;-2.3698;22000.0;21.2442;-189000.0;-1.3685;-1.0391;2017-12-31;2017-01-01;year;0.6796;-0.0171;-1.7812;3.9141;-1803000.0;11070
0.0;0.1005;0.9472;11070;2.4812;1.3589E7;2.0481;0.0;15.8109;-1949000.0;2.1351;3.1085;2018-12-31;2018-01-01;year;0.9472;0.0399;4.1419;3.7057;-476000.0;11070
1.3184;0.2;4.1942;11070;8.1094;4.8264E7;7.8299;0.0;11.5641;-3.9693E7;8.077;8.2927;2019-12-31;2019-01-01;year;2.4064;0.1065;11.8506;11.2877;1.27933E8;11070
1.8156;0.7795;4.5493;11070;7.8341;7.1299E7;7.5364;0.0;14.0151;-1.28268E8;5.7504;7.8624;2020-12-31;2020-01-01;year;3.8697;0.1044;11.7816;12.8458;1.67065E8;11070
2.9631;0.8554;4.674;11070;7.4467;1.33448E8;7.2809;0.0;12.5306;-1.53269E8;5.7687;7.9573;2021-12-31;2021-01-01;year;3.5876;0.1709;19.5083;14.1297;2.28715E8;11070
