data_fundacao;codigo_cvm;nome_empresa;nome_empresa_b3;cnpj;codigo_b3;setor_atuacao;subsetor_atuacao;segmento;atividade_principal;listada_b3;site_empresa
1981-09-28;3298;Companhia Habitasul De Participacoes;Habitasul;87762563000103;HBTS;Financeiro;Exploracao De Imoveis;Exploracao De Imoveis;"Participação em Sociedades. Civis Ou Comerciais; Prestação de Serviços Técnicos de Planejamento. Organização E Estruturação de Empresas Ou Grupos Empresariais.";Sim;http://www.habitasul.com.br
1926-01-02;4863;Correa Ribeiro S.a. Comercio E Industria;Correa Ribeiro;15101405000193;CORR;Financeiro;Exploracao De Imoveis;Exploracao De Imoveis;"";Sim;http://www.crci.com.br
1964-10-05;6815;Igb Eletronica S.a. - Em Recuperacao Judicial;Igb S/a;43185362000107;IGBR;Financeiro;Exploracao De Imoveis;Exploracao De Imoveis;Eletroeletrónica;Sim;http://www.igbeletronica.com
1946-01-24;8672;Jereissati Participacoes S.a.;Jereissati Participacoes;60543816000193;JPSA;Financeiro;Exploracao De Imoveis;Exploracao De Imoveis;"";Sim;http://www.jereissati.com.br
1985-10-10;13781;Sao Carlos Empreendimentos E Participacoes S.a.;Sao Carlos;29780061000109;SCAR;Financeiro;Exploracao De Imoveis;Exploracao De Imoveis;"Compra E Venda de Imóveis Prontos Ou A Construir; Locação de Bens Imóveis; Administração de Empreendimentos Imobiliários Próprios Ou de Terceiros; Exercício de Outras Atividades Correlatas; E Outros";Sim;http://www.scsa.com.br
1998-06-23;18538;Terminal Garagem Menezes Cortes Sa;Menezes Cort;02664042000152;MNZC;Financeiro;Exploracao De Imoveis;Exploracao De Imoveis;"";Sim;http://www.tgmc.com.br
2004-05-26;19909;Brmalls Participacoes S.a.;Brmalls;06977745000191;BRML;Financeiro;Exploracao De Imoveis;Exploracao De Imoveis;Holding;Sim;http://www.brmalls.com.br
2004-05-26;19925;Br Properties S.a.;Br Properties;06977751000149;BRPR;Financeiro;Exploracao De Imoveis;Exploracao De Imoveis;"Compra. Venda E Incorp. de Imóveis Comerciais Prontos Ou A Construir; Admin de Imóveis Próprios Ou de Terceiros; Arrendamento. Exploração Com. Locação Sub-locação de Imóveis Comerciais Própr. E Outros";Sim;http://www.brpr.com.br
1979-05-23;20494;Iguatemi Empresa De Shopping Centers S.a.;Iguatemi;51218147000193;IGTA;Financeiro;Exploracao De Imoveis;Exploracao De Imoveis;Empresa Full Service No Setor de Shopping Centers. Suas Atividades Englobam A Concepção. O planejamento. O Desenvolvimento E A Administração de Shopping Centers Regionais E Complexos imobiliários.;Sim;http://www.iguatemi.com.br
2005-12-30;20982;Multiplan Empreendimentos Imobiliarios S.a.;Multiplan;07816890000153;MULT;Financeiro;Exploracao De Imoveis;Exploracao De Imoveis;Administração de Shopping Centers;Sim;http://ri.multiplan.com.br/
2006-03-06;21008;General Shopping & Outlets Do Brasil S.a.;General Shopping & Outlets;08764621000153;GSHP;Financeiro;Exploracao De Imoveis;Exploracao De Imoveis;Administração de Shopping Centers;Sim;http://www.generalshopping.com.br
2007-04-11;21040;Syn Prop & Tech S.a.;Syn;08801621000186;SYNE;Financeiro;Exploracao De Imoveis;Exploracao De Imoveis;Incorporação de Empreendimentos Imobiliários;Sim;http://www.ccpsa.com.br
2003-07-17;22357;Aliansce Sonae Shopping Centers S.a.;Aliansce Sonae;05878397000132;ALSO;Financeiro;Exploracao De Imoveis;Exploracao De Imoveis;Planejamento. Desenvolvimento. Implantação E Investimentos Na área Imobiliária. Nomeadamente em Shopping Centers E A Participação em Outras Sociedades E/ou em Fundos de Investimento Imobiliário.;Sim;http://www.alianscesonae.com.br
2007-07-03;23272;Log Commercial Properties E Participacoes S.a.;Log Cp;09041168000110;LOGG;Financeiro;Exploracao De Imoveis;Exploracao De Imoveis;Administração de Bens Próprios. Prestação de Serviços de Engenharia E Construção.incorporação. Construção Comercialização E Locação de Imóveis.participação em Outras Sociedades Como Sócia Ou Acionista;Sim;http://www.logcp.com.br
2011-12-02;25402;Hbr Realty Empreendimentos Imobiliarios S.a.;Hbr Realty;14785152000151;HBRE;Financeiro;Exploracao De Imoveis;Exploracao De Imoveis;"Deter Património Constituído Por Bens Imóveis E Direitos A Eles Relativos; Administrar Bens Imóveis Próprios E de Terceiros; E Participar. Como Sócia Ou Acionista. em Outras Sociedades.";Sim;http://hbrrealty.com.br/
