cvm_code;financing;investing;operating;period_end;period_init;period_type;code_partition
26280;1488000;208000;-487000;2020-12-31;2020-01-01;year;26280
26280;2170284000;-569384000;-14628000;2021-12-31;2021-01-01;year;26280
