assets;biological_assets;cash;current_assets;current_liabilities;cvm_code;equity;equity_non_controlling;financial_investments;fixed_assets;intangible_assets;inventories;investments;liabilities;loans;long_term_loans;noncurrent_assets;noncurrent_liabilities;receivables;reference_date;suppliers;code_partition
77696000;0;73000;74000;11449000;25879;66247000;2249000;0;0;0;0;66622000;77696000;0;0;77622000;0;0;2019-12-31;27000;25879
239710000;0;92988000;100116000;19861000;25879;180435000;3973000;0;0;4000;0;139590000;239710000;15612000;39414000;139594000;39414000;0;2020-12-31;58000;25879
253364000;0;90116000;99483000;8208000;25879;193113000;3504000;0;0;191000;0;153690000;253364000;2995000;52043000;153881000;52043000;0;2021-03-31;928000;25879
479923000;0;69270000;81632000;11977000;25879;416690000;14704000;0;0;260000;0;391857000;479923000;3774000;51256000;398291000;51256000;0;2021-06-30;324000;25879
